"Feature_index","HMDB_ID","Metabolite","mz","Priority_score","Status","Module","Anchor","Related_classes","Covaries_with_standard","AVA","qvalue","effect_size","RT","Method"
"1","HMDB0000874","tauroursodeoxycholic acid",498.2898,0.9758,"enriched in IBD",26,"tauroursodeoxycholic acid","Steroids and steroid derivatives","1",1,0.000241441193068274,5.7719,7.26,"C18-neg"
"550","","",418.4046,0.9747,"depleted in IBD",16,"5alpha-Cholestanol","Steroids and steroid derivatives","1",0.2388,1.03820147089915e-06,8.1188,7.5,"C8-pos"
"671","","",329.1756,0.9735,"depleted in IBD",11,"carnosol","Prenol lipids","1",15.5505,0.00372642569730537,7.0985,1.68,"HILIC-neg"
"798","","",294.6192,0.9724,"enriched in IBD",26,"tauroursodeoxycholic acid","Steroids and steroid derivatives","1",1.9748,0.00239319329037071,6.5317,6.67,"HILIC-neg"
"150","","",345.1704,0.9712,"depleted in IBD",11,"carnosol","Prenol lipids","1",1.2928,0.00202101100639083,6.46,4.23,"HILIC-neg"
"110","","",414.358,0.9701,"enriched in IBD",0,"","","0",1,3.77093081724217e-05,4.8296,4.66,"C8-pos"
"283","HMDB0000921","cholestenone",769.6855,0.9689,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.1946,7.11026393053753e-06,9.4208,7,"C8-pos"
"307","HMDB0002121","carnosol",329.1756,0.9678,"depleted in IBD",11,"carnosol","Prenol lipids","1",1,0.00104094741048206,5.5538,10.79,"C18-neg"
"644","","",411.3509,0.9666,"depleted in IBD",16,"5alpha-Cholestanol","Steroids and steroid derivatives","1",2.8053,0.000378004075005711,4.4868,7.5,"C8-pos"
"264","","",411.3623,0.9655,"depleted in IBD",17,"","","0",0.2929,5.86141290475553e-05,6.753,10.12,"C8-pos"
"859","","",325.1412,0.9643,"depleted in IBD",28,"","","0",0.1308,5.47004185861509e-08,9.1077,2.76,"C8-pos"
"664","","",217.1952,0.9632,"depleted in IBD",16,"5alpha-Cholestanol","Steroids and steroid derivatives","1",0.1418,3.62346906385593e-07,7.9559,7.5,"C8-pos"
"800","","",928.683,0.962,"depleted in IBD",17,"","","0",0.2668,0.000122289579678283,6.6866,10.13,"C8-pos"
"178","","",397.383,0.9609,"depleted in IBD",9,"","","0",0.1722,1.85532040260925e-05,8.6393,8.02,"C8-pos"
"481","","",345.1704,0.9597,"depleted in IBD",11,"carnosol","Prenol lipids","1",5.5624,0.00874198844748742,6.2214,1.67,"HILIC-neg"
"794","","",437.3756,0.9586,"depleted in IBD",9,"","","0",1,0.000163616666857388,4.237,8.02,"C8-pos"
"260","","",271.0038,0.9574,"enriched in IBD",21,"taurine","Organic sulfonic acids and derivatives","1",0.1495,1.91069314129478e-05,9.6123,3.71,"HILIC-neg"
"554","","",252.5723,0.9563,"enriched in IBD",26,"tauroursodeoxycholic acid","Steroids and steroid derivatives","1",0.2134,0.000132190576401301,6.8941,5.78,"C18-neg"
"507","","",623.5015,0.9551,"depleted in IBD",17,"","","0",0.7494,0.00369859455029388,6.196,8.66,"C8-pos"
"345","","",361.2018,0.954,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.8071,0.00415299665661071,5.4986,3.58,"HILIC-neg"
"439","","",556.3306,0.9528,"enriched in IBD",23,"","","0",0.4454,0.000132190576401301,4.5323,8.77,"C18-neg"
"94","","",556.3306,0.9517,"enriched in IBD",23,"","","0",1,0.00297742141296825,4.5034,3.47,"HILIC-neg"
"2","HMDB0000251","taurine",124.0072,0.9505,"enriched in IBD",21,"taurine","Organic sulfonic acids and derivatives","1",1,1.91069314129478e-05,3.5656,3.72,"HILIC-neg"
"108","","",279.614,0.9494,"enriched in IBD",12,"","","0",1,0.013987287220897,6.3566,6.94,"HILIC-neg"
"714","","",319.082,0.9482,"depleted in IBD",15,"","","0",1,0.00196618993438683,4.1553,6.41,"HILIC-neg"
"80","","",432.4203,0.9471,"depleted in IBD",9,"","","0",0.0997,1.61039404246193e-06,9.17,8.01,"C8-pos"
"741","","",572.3387,0.9459,"depleted in IBD",17,"","","0",0.1054,8.79853106959839e-07,7.566,3.71,"C8-pos"
"489","","",359.2558,0.9448,"depleted in IBD",17,"","","0",0.1163,1.23113809825574e-05,7.2554,3.71,"C8-pos"
"331","","",423.36,0.9436,"depleted in IBD",9,"","","0",0.3604,0.000991393407021997,4.6374,7.75,"C8-pos"
"281","","",362.237,0.9425,"enriched in IBD",14,"","","0",0.1183,1.52057129905633e-06,5.7669,13.17,"C18-neg"
"174","","",329.1756,0.9413,"depleted in IBD",11,"carnosol","Prenol lipids","1",31.9902,0.0309443946766554,6.6436,3.04,"HILIC-neg"
"691","","",821.7145,0.9402,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0894,1.35295570831301e-05,9.2436,7.51,"C8-pos"
"129","","",715.5994,0.939,"depleted in IBD",17,"","","0",1,0.00936561965973585,4.4484,10.12,"C8-pos"
"847","","",556.3308,0.9379,"enriched in IBD",23,"","","0",0.2481,2.61430844145468e-05,4.146,8.66,"C18-neg"
"391","","",345.2069,0.9367,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.8476,0.00779402690926328,4.4997,12.61,"C18-neg"
"27","","",261.0767,0.9356,"depleted in IBD",5,"","","0",0.427,0.00770567224333581,5.1035,5.52,"C18-neg"
"333","","",710.6427,0.9344,"depleted in IBD",17,"","","0",0.9553,0.00897485118018512,4.499,10.13,"C8-pos"
"153","","",415.3935,0.9333,"depleted in IBD",9,"","","0",0.3889,0.00630310525225135,4.9897,8.01,"C8-pos"
"22","","",295.1208,0.9321,"enriched in IBD",26,"tauroursodeoxycholic acid","Steroids and steroid derivatives","1",0.1391,0.000274942208827439,5.7544,9.66,"C18-neg"
"195","","",327.1689,0.931,"depleted in IBD",0,"","","0",1,0.00436911669836619,3.7848,6.31,"HILIC-pos"
"727","","",266.6062,0.9298,"enriched in IBD",23,"","","0",0.0856,0.000121058509868857,8.7419,6.89,"HILIC-neg"
"539","","",329.103,0.9287,"depleted in IBD",1,"","","0",0.0717,1.40851781734172e-05,7.5754,3.34,"C18-neg"
"700","","",353.1725,0.9275,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.2758,0.0074165894505943,4.8305,3.88,"C8-pos"
"670","","",362.2369,0.9264,"enriched in IBD",14,"","","0",0.3137,0.00724633979318718,4.4753,2.92,"HILIC-neg"
"445","","",343.0819,0.9252,"depleted in IBD",1,"","","0",0.099,0.00066414746956423,6.6108,11.12,"HILIC-neg"
"858","","",566.2555,0.9241,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.1954,0.00637303794821807,4.9118,3.88,"C8-pos"
"3","HMDB0000251","taurine",126.0218,0.9229,"enriched in IBD",21,"taurine","Organic sulfonic acids and derivatives","1",0.2122,4.0597224135792e-05,3.5874,6.1,"HILIC-pos"
"231","","",388.2525,0.9217,"enriched in IBD",14,"","","0",0.4839,0.00521874841033031,3.8007,2.89,"HILIC-neg"
"194","","",435.3599,0.9206,"depleted in IBD",9,"","","0",0.1586,0.00436911669836619,4.7466,7.82,"C8-pos"
"4","HMDB0000921","cholestenone",385.3465,0.9194,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",1,5.79092910247122e-06,2.8048,7,"C8-pos"
"657","","",713.5842,0.9183,"depleted in IBD",17,"","","0",0.3354,0.0113801436993182,4.4704,9.8,"C8-pos"
"203","","",673.5376,0.9171,"depleted in IBD",0,"","","0",1,0.0403483548841665,5.2576,1.61,"HILIC-pos"
"293","","",343.1549,0.916,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.464,0.0139268607287863,4.1754,10.34,"C18-neg"
"234","","",386.2369,0.9148,"enriched in IBD",14,"","","0",0.0691,1.71035280312106e-05,5.0444,12.28,"C18-neg"
"430","","",708.628,0.9137,"depleted in IBD",17,"","","0",0.1218,0.00304316830295694,4.8726,9.79,"C8-pos"
"814","","",327.0874,0.9125,"depleted in IBD",1,"","","0",0.121,0.00587732355101987,5.252,4.3,"C18-neg"
"696","","",383.3674,0.9114,"depleted in IBD",9,"","","0",0.0451,8.79853106959839e-07,8.9282,7.74,"C8-pos"
"648","","",206.0451,0.9102,"enriched in IBD",14,"","","0",0.19,0.00131546020599756,3.6658,6.31,"HILIC-pos"
"139","","",453.2621,0.9091,"depleted in IBD",20,"","","0",0.3946,0.00290728723638058,3.385,12.32,"C18-neg"
"277","","",499.3427,0.9079,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.0882,0.00103503825027119,4.8932,13.28,"C18-neg"
"725","","",331.1906,0.9068,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.2428,0.00846688587220936,3.866,3.88,"C8-pos"
"516","","",208.9848,0.9056,"enriched in IBD",21,"taurine","Organic sulfonic acids and derivatives","1",0.059,0.00045681053478235,6.4718,3.74,"HILIC-neg"
"435","","",124.9913,0.9045,"enriched in IBD",14,"","","0",0.5516,0.0276578444186927,4.0241,3.84,"HILIC-neg"
"676","","",206.0102,0.9033,"enriched in IBD",21,"taurine","Organic sulfonic acids and derivatives","1",0.0531,0.000337890393097239,6.8992,3.7,"HILIC-neg"
"663","","",650.458,0.9022,"depleted in IBD",9,"","","0",0.0588,0.000514999616623541,5.7937,8.03,"C8-pos"
"478","","",274.1063,0.901,"depleted in IBD",5,"","","0",0.8688,0.0366650323971821,4.0472,7.54,"HILIC-pos"
"720","","",180.0335,0.8999,"enriched in IBD",14,"","","0",0.4527,0.00897485118018512,3.3849,3.47,"HILIC-neg"
"123","","",747.6262,0.8987,"depleted in IBD",17,"","","0",0.0657,0.000904130345553025,4.9183,9.71,"C8-pos"
"98","","",253.074,0.8976,"enriched in IBD",26,"tauroursodeoxycholic acid","Steroids and steroid derivatives","1",0.0571,0.000268343075813431,4.9663,5.79,"C18-neg"
"113","","",321.0848,0.8964,"enriched in IBD",14,"","","0",0.1407,0.0110793573954631,4.3462,3.67,"HILIC-neg"
"532","","",251.0356,0.8953,"enriched in IBD",21,"taurine","Organic sulfonic acids and derivatives","1",0.0451,0.000337890393097239,7.6933,6.1,"HILIC-pos"
"734","","",385.3448,0.8941,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.5403,2.03129519937632e-05,2.4971,1.67,"HILIC-pos"
"233","","",573.4121,0.893,"depleted in IBD",9,"","","0",0.0567,7.12678525853372e-06,4.2106,6.45,"C8-pos"
"831","","",401.378,0.8918,"depleted in IBD",9,"","","0",0.1067,0.00958321700350667,4.5509,7.75,"C8-pos"
"584","","",455.3862,0.8907,"depleted in IBD",9,"","","0",0.0301,2.83262692137445e-07,9.8434,8.02,"C8-pos"
"344","","",429.4093,0.8895,"depleted in IBD",9,"","","0",0.0318,8.79853106959839e-07,9.1481,8.02,"C8-pos"
"495","","",184.0633,0.8884,"enriched in IBD",14,"","","0",0.1196,0.00174820502610146,3.6339,6.3,"HILIC-pos"
"69","","",376.2467,0.8872,"depleted in IBD",11,"carnosol","Prenol lipids","1",1.2307,0.0480309812647478,4.0738,1.66,"HILIC-pos"
"649","","",435.3599,0.8861,"depleted in IBD",9,"","","0",0.2031,0.00115783588706617,3.1217,7.63,"C8-pos"
"250","","",300.6375,0.8849,"enriched in IBD",23,"","","0",0.0424,0.000446464843838396,7.2268,6.72,"HILIC-neg"
"45","","",126.003,0.8838,"enriched in IBD",21,"taurine","Organic sulfonic acids and derivatives","1",0.0483,0.000166627451915729,5.0762,3.71,"HILIC-neg"
"421","","",705.5796,0.8826,"depleted in IBD",17,"","","0",0.0555,0.00101150335214631,4.9451,9.59,"C8-pos"
"372","","",222.0919,0.8815,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.3465,0.0187800909644613,3.4974,1.19,"HILIC-neg"
"294","","",325.0068,0.8803,"depleted in IBD",16,"5alpha-Cholestanol","Steroids and steroid derivatives","1",1.042,0.0553919627111627,4.4177,4.54,"HILIC-neg"
"7","","",651.5886,0.8792,"depleted in IBD",24,"","","0",0.0464,0.000389653769092395,5.1084,9.98,"C8-pos"
"5","HMDB0000921","cholestenone",407.3285,0.878,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.4564,8.62563440885242e-06,2.2933,7,"C8-pos"
"783","","",301.6272,0.8769,"enriched in IBD",26,"tauroursodeoxycholic acid","Steroids and steroid derivatives","1",0.1703,0.0366650323971821,4.3914,6.69,"HILIC-neg"
"375","","",540.336,0.8757,"enriched in IBD",23,"","","0",0.0483,0.00130091854865955,4.9561,9.92,"C18-neg"
"846","","",345.1706,0.8746,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.1096,0.0142241658959815,4.1548,8.99,"C18-neg"
"724","","",485.2726,0.8734,"enriched in IBD",12,"","","0",0.0602,0.00147691153170814,4.1498,18.94,"C18-neg"
"851","","",243.1598,0.8723,"depleted in IBD",3,"","","0",0.025,8.7755193308939e-07,8.7803,3.89,"HILIC-neg"
"681","","",279.614,0.8711,"enriched in IBD",12,"","","0",0.1575,0.0378408399010388,4.3894,7.43,"C18-neg"
"112","","",246.0076,0.87,"enriched in IBD",26,"tauroursodeoxycholic acid","Steroids and steroid derivatives","1",0.1789,0.0312931736816347,3.8474,3.63,"HILIC-neg"
"286","","",621.486,0.8688,"depleted in IBD",17,"","","0",0.6141,0.049095343581855,3.9209,8.34,"C8-pos"
"369","","",418.4046,0.8677,"depleted in IBD",9,"","","0",0.0233,8.7755193308939e-07,8.9777,7.75,"C8-pos"
"189","","",636.4423,0.8665,"depleted in IBD",9,"","","0",0.0224,8.7755193308939e-07,9.1722,7.76,"C8-pos"
"779","","",125.0105,0.8654,"enriched in IBD",21,"taurine","Organic sulfonic acids and derivatives","1",0.0277,0.000317073983458352,7.5302,3.71,"HILIC-neg"
"220","","",620.411,0.8642,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.1754,1.35295570831301e-05,2.3143,6.99,"C8-pos"
"235","","",294.6192,0.8631,"enriched in IBD",26,"tauroursodeoxycholic acid","Steroids and steroid derivatives","1",0.1181,0.0312931736816347,4.0767,9.78,"C18-neg"
"627","","",124.9901,0.8619,"enriched in IBD",14,"","","0",0.1098,0.0237568243150451,3.7153,0.74,"C18-neg"
"506","","",294.6192,0.8608,"enriched in IBD",26,"tauroursodeoxycholic acid","Steroids and steroid derivatives","1",0.041,0.00290728723638058,4.8057,9.98,"C18-neg"
"877","","",345.1706,0.8596,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.2904,0.0405342454020064,3.5006,8.52,"C18-neg"
"290","","",453.2622,0.8585,"depleted in IBD",20,"","","0",0.0982,0.00172806158451173,3.1479,12.7,"C18-neg"
"824","","",230.1167,0.8573,"depleted in IBD",5,"","","0",1,0.0392342275669102,2.8642,6.48,"HILIC-pos"
"242","","",404.2471,0.8562,"enriched in IBD",23,"","","0",0.0301,0.00123571568361245,5.7641,3.02,"HILIC-neg"
"575","","",679.6016,0.855,"depleted in IBD",24,"","","0",0.0771,0.0238150424591833,3.836,10.35,"C8-pos"
"528","","",622.4267,0.8539,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0217,1.59947590937042e-05,7.0979,7.47,"C8-pos"
"183","","",618.5449,0.8527,"depleted in IBD",17,"","","0",0.4421,0.0157550729167702,2.4848,8.74,"C8-pos"
"398","","",208.0961,0.8516,"depleted in IBD",5,"","","0",0.0561,0.00620007168811692,3.5013,8.06,"HILIC-pos"
"484","","",194.1169,0.8504,"depleted in IBD",1,"","","0",0.0654,0.0174539544736676,3.62,8.17,"HILIC-pos"
"162","","",295.1207,0.8493,"enriched in IBD",26,"tauroursodeoxycholic acid","Steroids and steroid derivatives","1",0.4718,0.0413237994807567,2.9787,6.67,"HILIC-neg"
"309","","",124.006,0.8481,"enriched in IBD",21,"taurine","Organic sulfonic acids and derivatives","1",0.1006,0.042449045517957,4.2393,0.75,"C18-neg"
"382","","",238.1064,0.847,"depleted in IBD",5,"","","0",0.127,0.0408095352636552,3.579,8.55,"HILIC-pos"
"533","","",469.4021,0.8458,"depleted in IBD",9,"","","0",0.0166,1.68895536659327e-07,9.5606,8.02,"C8-pos"
"215","","",648.4421,0.8446,"depleted in IBD",9,"","","0",0.0185,1.05529784056475e-05,7.7648,7.83,"C8-pos"
"463","","",455.275,0.8435,"depleted in IBD",20,"","","0",0.0817,0.035146507693535,3.6492,5.26,"HILIC-pos"
"715","","",232.0959,0.8423,"depleted in IBD",5,"","","0",0.1029,0.0251979040130564,3.2011,6.9,"HILIC-pos"
"587","","",417.4003,0.8412,"depleted in IBD",9,"","","0",0.016,1.68895536659327e-07,9.5424,8.02,"C8-pos"
"882","","",496.3137,0.84,"depleted in IBD",20,"","","0",0.4879,0.0699260601023568,3.6099,3.13,"HILIC-neg"
"19","","",285.186,0.8389,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.0415,0.0177865275551971,4.3144,10.79,"C18-neg"
"241","","",357.1794,0.8377,"depleted in IBD",5,"","","0",0.0629,0.011689848945208,3.3008,6.54,"HILIC-pos"
"678","","",166.0177,0.8366,"enriched in IBD",14,"","","0",0.7789,0.0015375023607843,1.7264,3.6,"HILIC-neg"
"138","","",786.4944,0.8354,"depleted in IBD",9,"","","0",0.0203,0.00066414746956423,6.4577,6.46,"C8-pos"
"406","","",441.2594,0.8343,"depleted in IBD",20,"","","0",0.0254,0.00272398409431992,4.5373,5.28,"HILIC-pos"
"684","","",380.2419,0.8331,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.0295,0.00683865495596231,4.4819,1.8,"HILIC-pos"
"253","","",761.6033,0.832,"depleted in IBD",6,"","","0",0.0739,0.0550124591575301,4.58,6.15,"C8-pos"
"131","","",308.635,0.8308,"enriched in IBD",23,"","","0",0.0208,0.00202101100639083,6.1405,6.71,"HILIC-neg"
"770","","",259.0609,0.8297,"depleted in IBD",5,"","","0",0.4263,0.0757364636914186,3.5486,6.66,"HILIC-neg"
"519","","",361.2019,0.8285,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.7084,0.0893767347770685,3.6936,3.77,"HILIC-neg"
"350","","",603.5325,0.8274,"depleted in IBD",17,"","","0",0.0802,0.0378408399010388,3.3373,9.02,"C8-pos"
"449","","",629.4934,0.8262,"depleted in IBD",3,"","","0",0.1607,0.0448326957327209,2.9956,10.05,"C8-pos"
"67","","",406.263,0.8251,"enriched in IBD",14,"","","0",0.1754,0.0308193413119373,2.4454,10.61,"C18-neg"
"90","","",141.9987,0.8239,"enriched in IBD",14,"","","0",0.0171,9.46538036971816e-05,4.9819,4.06,"HILIC-pos"
"20","","",567.4564,0.8228,"depleted in IBD",3,"","","0",1,0.0177082597523334,1.7136,10.06,"C8-pos"
"574","","",194.0501,0.8216,"enriched in IBD",14,"","","0",0.1018,0.0276578444186927,2.6717,3.41,"HILIC-neg"
"236","","",621.4646,0.8205,"depleted in IBD",3,"","","0",0.4127,0.0282551330337712,1.9884,10.06,"C8-pos"
"887","","",399.3967,0.8193,"depleted in IBD",16,"5alpha-Cholestanol","Steroids and steroid derivatives","1",0.1521,0.0756568248158119,3.8025,1.7,"HILIC-pos"
"753","","",439.2463,0.8182,"depleted in IBD",20,"","","0",0.1541,0.0212862187442527,2.2091,11.67,"C18-neg"
"665","","",540.3356,0.817,"enriched in IBD",23,"","","0",0.0161,0.000940120225927759,6.2116,9.71,"C18-neg"
"505","","",834.5471,0.8159,"depleted in IBD",3,"","","0",0.0391,0.0103310443422869,3.1585,10.06,"C8-pos"
"77","","",222.1117,0.8147,"depleted in IBD",5,"","","0",0.0722,0.0449011941803882,3.2952,8.66,"HILIC-pos"
"504","","",337.121,0.8136,"depleted in IBD",28,"","","0",0.012,5.47004185861509e-08,6.7676,3.75,"C18-neg"
"618","","",453.3371,0.8124,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.0946,0.0486079231219242,3.1578,13.28,"C18-neg"
"311","","",624.3181,0.8113,"enriched in IBD",23,"","","0",0.0183,0.00532623715768619,4.9631,8.66,"C18-neg"
"564","","",535.4304,0.8101,"depleted in IBD",3,"","","0",0.0602,0.0153895743483232,2.597,10.06,"C8-pos"
"169","","",683.5013,0.809,"depleted in IBD",3,"","","0",0.1019,0.0399564872808789,2.7174,9.96,"C8-pos"
"838","","",167.0824,0.8078,"depleted in IBD",28,"","","0",1,0.0886324463821358,2.8528,2.2,"HILIC-neg"
"159","","",509.3219,0.8067,"depleted in IBD",20,"","","0",0.0223,0.0159800490413317,4.4723,5.16,"HILIC-pos"
"85","","",619.4911,0.8055,"depleted in IBD",4,"","","0",0.0485,0.0640919385142911,4.6243,4.45,"C8-pos"
"638","","",238.1065,0.8044,"depleted in IBD",5,"","","0",0.0279,0.0165342917395929,3.5479,9.02,"HILIC-pos"
"689","","",562.535,0.8032,"depleted in IBD",3,"","","0",0.155,0.0589564044765237,2.8039,10.3,"C8-pos"
"141","","",729.5785,0.8021,"depleted in IBD",17,"","","0",0.1887,0.0825787678313346,3.3246,9.36,"C8-pos"
"721","","",653.5636,0.8009,"depleted in IBD",3,"","","0",0.0328,0.00729320475388005,2.8857,10.15,"C8-pos"
"212","","",429.1585,0.7998,"depleted in IBD",5,"","","0",0.1373,0.0694918026808269,3.0203,6.51,"C18-neg"
"415","","",218.1168,0.7986,"depleted in IBD",5,"","","0",0.0493,0.0479698766793275,3.3215,7.62,"HILIC-pos"
"837","","",387.353,0.7975,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0383,0.000601255128133407,2.2507,7,"C8-pos"
"786","","",220.096,0.7963,"depleted in IBD",5,"","","0",0.1109,0.063774756297238,3.0068,8.9,"HILIC-pos"
"756","","",272.0906,0.7952,"depleted in IBD",5,"","","0",0.03,0.0271874168543687,3.3968,4.49,"HILIC-pos"
"825","","",234.1481,0.794,"depleted in IBD",5,"","","0",0.0178,0.00115859053113765,3.6688,7.09,"HILIC-pos"
"509","","",430.4045,0.7929,"depleted in IBD",9,"","","0",0.0102,9.84681624249992e-07,7.6256,7.63,"C8-pos"
"591","","",441.3706,0.7917,"depleted in IBD",9,"","","0",0.0103,6.11433137241623e-06,7.6771,7.75,"C8-pos"
"34","","",409.3351,0.7906,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0154,0.0011518284222972,4.1936,7,"C8-pos"
"709","","",641.473,0.7894,"depleted in IBD",4,"","","0",0.016,0.0133364994254805,5.168,4.45,"C8-pos"
"765","","",194.049,0.7883,"enriched in IBD",14,"","","0",0.8077,0.0756568248158119,2.2861,3.38,"HILIC-neg"
"490","","",229.1209,0.7871,"enriched in IBD",14,"","","0",0.0105,1.44986745433612e-05,6.1584,6.3,"HILIC-pos"
"72","","",536.438,0.786,"depleted in IBD",3,"","","0",0.3912,0.0237778162725559,1.4372,10.06,"C8-pos"
"743","","",387.3515,0.7848,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0177,0.00173809253868056,3.5096,1.67,"HILIC-pos"
"751","","",416.389,0.7837,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0111,0.000263343462579749,5.6893,6.99,"C8-pos"
"188","","",587.3439,0.7825,"depleted in IBD",22,"","","0",0.0677,0.0653432481730716,3.1605,1.17,"HILIC-neg"
"160","","",599.4823,0.7814,"depleted in IBD",3,"","","0",0.1215,0.0480200738029468,2.1583,9.96,"C8-pos"
"403","","",311.1839,0.7802,"depleted in IBD",24,"","","0",0.0124,9.46538036971816e-05,3.9474,10.92,"C18-neg"
"321","","",442.1903,0.7791,"enriched in IBD",23,"","","0",0.0638,0.0793743469942029,3.5296,3.1,"HILIC-neg"
"500","","",553.4412,0.7779,"depleted in IBD",3,"","","0",0.0139,0.00360005880446349,4.4005,10.06,"C8-pos"
"620","","",597.4672,0.7768,"depleted in IBD",3,"","","0",0.0205,0.0211998026051579,3.4894,10.06,"C8-pos"
"739","","",567.5108,0.7756,"depleted in IBD",3,"","","0",0.0321,0.0406058229351055,3.1923,10.38,"C8-pos"
"119","","",337.1416,0.7745,"depleted in IBD",9,"","","0",0.0118,0.00478114466467772,5.1773,4.09,"HILIC-neg"
