"HMDB.ID","Sub_Class","Class"
"HMDB00150","Carbohydrates and carbohydrate conjugates","Organooxygen compounds"
"HMDB00151","Estrane steroids","Steroids and steroid derivatives"
"HMDB00152","Benzoic acids and derivatives","Benzene and substituted derivatives"
"HMDB00153","Estrane steroids","Steroids and steroid derivatives"
"HMDB00156","Beta hydroxy acids and derivatives","Hydroxy acids and derivatives"
"HMDB00157","Purines and purine derivatives","Imidazopyrimidines"
"HMDB00158","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00159","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00161","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00162","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00163","Carbohydrates and carbohydrate conjugates","Organooxygen compounds"
"HMDB00164","Amines","Organonitrogen compounds"
"HMDB00167","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00168","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00169","Carbohydrates and carbohydrate conjugates","Organooxygen compounds"
"HMDB00172","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00174","Carbohydrates and carbohydrate conjugates","Organooxygen compounds"
"HMDB00175","Purine ribonucleotides","Purine nucleotides"
"HMDB00176","Dicarboxylic acids and derivatives","Carboxylic acids and derivatives"
"HMDB00177","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00181","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00182","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00186","Carbohydrates and carbohydrate conjugates","Organooxygen compounds"
"HMDB00187","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00189","Purine ribonucleotides","Purine nucleotides"
"HMDB00190","Alpha hydroxy acids and derivatives","Hydroxy acids and derivatives"
"HMDB00191","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00192","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00193","Tricarboxylic acids and derivatives","Carboxylic acids and derivatives"
"HMDB00194","Hybrid peptides","Peptidomimetics"
"HMDB00195","","Purine nucleosides"
"HMDB00197","Indolyl carboxylic acids and derivatives","Indoles and derivatives"
"HMDB00201","Fatty acid esters","Fatty Acyls"
"HMDB00202","Dicarboxylic acids and derivatives","Carboxylic acids and derivatives"
"HMDB00205","Phenylpyruvic acid derivatives","Benzene and substituted derivatives"
"HMDB00206","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00207","Fatty acids and conjugates","Fatty Acyls"
"HMDB00208","Gamma-keto acids and derivatives","Keto acids and derivatives"
"HMDB00209","","Benzene and substituted derivatives"
"HMDB00210","Polyols","Alcohols and polyols"
"HMDB00211","Alcohols and polyols","Organooxygen compounds"
"HMDB00212","Carbohydrates and carbohydrate conjugates","Organooxygen compounds"
"HMDB00213","Alcohols and polyols","Organooxygen compounds"
"HMDB00214","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00215","Carbohydrates and carbohydrate conjugates","Organooxygen compounds"
"HMDB00216","Benzenediols","Phenols"
"HMDB00217","","(5'->5')-dinucleotides"
"HMDB00218","Pyrimidine ribonucleotides","Pyrimidine nucleotides"
"HMDB00220","Fatty acids and conjugates","Fatty Acyls"
"HMDB00221","","(5'->5')-dinucleotides"
"HMDB00222","Fatty acid esters","Fatty Acyls"
"HMDB00223","Short-chain keto acids and derivatives","Keto acids and derivatives"
"HMDB00224","Phosphate esters","Organic phosphoric acids and derivatives"
"HMDB00225","Medium-chain keto acids and derivatives","Keto acids and derivatives"
"HMDB00226","Pyrimidines and pyrimidine derivatives","Diazines"
"HMDB00227","Fatty acids and conjugates","Fatty Acyls"
"HMDB00228","1-hydroxy-4-unsubstituted benzenoids","Phenols"
"HMDB00229","Nicotinamide nucleotides","Pyridine nucleotides"
"HMDB00230","Carbohydrates and carbohydrate conjugates","Organooxygen compounds"
"HMDB00232","Pyridinecarboxylic acids and derivatives","Pyridines and derivatives"
"HMDB00234","Androstane steroids","Steroids and steroid derivatives"
"HMDB00235","Pyrimidines and pyrimidine derivatives","Diazines"
"HMDB00237","Carboxylic acids","Carboxylic acids and derivatives"
"HMDB00238","Pterins and derivatives","Pteridines and derivatives"
"HMDB00239","Pyridoxines","Pyridines and derivatives"
"HMDB00240","Non-metal sulfites","Non-metal oxoanionic compounds"
"HMDB00241","Porphyrins","Tetrapyrroles and derivatives"
"HMDB00243","Alpha-keto acids and derivatives","Keto acids and derivatives"
"HMDB00244","Alloxazines and isoalloxazines","Pteridines and derivatives"
"HMDB00245","Amines","Organonitrogen compounds"
"HMDB00246","","Tetrahydrofurans"
"HMDB00247","Carbohydrates and carbohydrate conjugates","Organooxygen compounds"
"HMDB00248","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00250","Non-metal pyrophosphates","Non-metal oxoanionic compounds"
"HMDB00251","Organosulfonic acids and derivatives","Organic sulfonic acids and derivatives"
"HMDB00252","Amines","Organonitrogen compounds"
"HMDB00253","Pregnane steroids","Steroids and steroid derivatives"
"HMDB00254","Dicarboxylic acids and derivatives","Carboxylic acids and derivatives"
"HMDB00256","Triterpenoids","Prenol lipids"
"HMDB00257","Non-metal thiosulfates","Non-metal oxoanionic compounds"
"HMDB00258","Carbohydrates and carbohydrate conjugates","Organooxygen compounds"
"HMDB00259","Tryptamines and derivatives","Indoles and derivatives"
"HMDB00262","Pyrimidines and pyrimidine derivatives","Diazines"
"HMDB00263","Phosphate esters","Organic phosphoric acids and derivatives"
"HMDB00265","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00267","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00268","Hydroxysteroids","Steroids and steroid derivatives"
"HMDB00269","Amines","Organonitrogen compounds"
"HMDB00271","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00272","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00273","Pyrimidine 2'-deoxyribonucleosides","Pyrimidine nucleosides"
"HMDB00277","Phosphosphingolipids","Sphingolipids"
"HMDB00279","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00280","Carbohydrates and carbohydrate conjugates","Organooxygen compounds"
"HMDB00283","Carbohydrates and carbohydrate conjugates","Organooxygen compounds"
"HMDB00285","Pyrimidine ribonucleotides","Pyrimidine nucleotides"
"HMDB00286","Pyrimidine nucleotide sugars","Pyrimidine nucleotides"
"HMDB00288","Pyrimidine ribonucleotides","Pyrimidine nucleotides"
"HMDB00289","Purines and purine derivatives","Imidazopyrimidines"
"HMDB00290","Pyrimidine nucleotide sugars","Pyrimidine nucleotides"
"HMDB00291","Methoxyphenols","Phenols"
"HMDB00292","Purines and purine derivatives","Imidazopyrimidines"
"HMDB00293","Purine ribonucleotides","Purine nucleotides"
"HMDB00294","Ureas","Organic carbonic acids and derivatives"
"HMDB00295","Pyrimidine ribonucleotides","Pyrimidine nucleotides"
"HMDB00296","","Pyrimidine nucleosides"
"HMDB00299","","Purine nucleosides"
"HMDB00300","Pyrimidines and pyrimidine derivatives","Diazines"
"HMDB00301","Imidazoles","Azoles"
"HMDB00302","Pyrimidine nucleotide sugars","Pyrimidine nucleotides"
"HMDB00303","Tryptamines and derivatives","Indoles and derivatives"
"HMDB00304","Pyrimidine nucleotide sugars","Pyrimidine nucleotides"
"HMDB00305","Retinoids","Prenol lipids"
"HMDB00306","Phenethylamines","Benzene and substituted derivatives"
"HMDB00307","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00308","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00309","Androstane steroids","Steroids and steroid derivatives"
"HMDB00310","Beta-keto acids and derivatives","Keto acids and derivatives"
"HMDB00311","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00312","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00313","Estrane steroids","Steroids and steroid derivatives"
"HMDB00314","Hydroxysteroids","Steroids and steroid derivatives"
"HMDB00315","Pregnane steroids","Steroids and steroid derivatives"
"HMDB00316","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00317","Fatty acids and conjugates","Fatty Acyls"
"HMDB00318","Benzenediols","Phenols"
"HMDB00319","Hydroxysteroids","Steroids and steroid derivatives"
"HMDB00320","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00321","Fatty acids and conjugates","Fatty Acyls"
"HMDB00322","Androstane steroids","Steroids and steroid derivatives"
