"HMDB.ID","Sub_Class","Class"
"HMDB08781","Glycerophosphocholines","Glycerophospholipids"
"HMDB08782","Glycerophosphocholines","Glycerophospholipids"
"HMDB08783","Glycerophosphocholines","Glycerophospholipids"
"HMDB08784","Glycerophosphocholines","Glycerophospholipids"
"HMDB08785","Glycerophosphocholines","Glycerophospholipids"
"HMDB08786","Glycerophosphocholines","Glycerophospholipids"
"HMDB08787","Glycerophosphocholines","Glycerophospholipids"
"HMDB08788","Glycerophosphocholines","Glycerophospholipids"
"HMDB08789","Glycerophosphocholines","Glycerophospholipids"
"HMDB08790","Glycerophosphocholines","Glycerophospholipids"
"HMDB08791","Glycerophosphocholines","Glycerophospholipids"
"HMDB08792","Glycerophosphocholines","Glycerophospholipids"
"HMDB08793","HMDB08793","HMDB08793"
"PC(24:1(15Z)/18:0)      ","",""
"HMDB08794","HMDB08794","HMDB08794"
"PC(24:1(15Z)/18:1(11Z))      ","",""
"HMDB08795","HMDB08795","HMDB08795"
"PC(24:1(15Z)/18:1(9Z))      ","",""
"HMDB08796","Glycerophosphocholines","Glycerophospholipids"
"HMDB08797","Glycerophosphocholines","Glycerophospholipids"
"HMDB08798","Glycerophosphocholines","Glycerophospholipids"
"HMDB08799","Glycerophosphocholines","Glycerophospholipids"
"HMDB08800","Glycerophosphocholines","Glycerophospholipids"
"HMDB08801","Glycerophosphocholines","Glycerophospholipids"
"HMDB08802","Glycerophosphocholines","Glycerophospholipids"
"HMDB08803","Glycerophosphocholines","Glycerophospholipids"
"HMDB08804","Glycerophosphocholines","Glycerophospholipids"
"HMDB08805","Glycerophosphocholines","Glycerophospholipids"
"HMDB08806","Glycerophosphocholines","Glycerophospholipids"
"HMDB08807","Glycerophosphocholines","Glycerophospholipids"
"HMDB08808","Glycerophosphocholines","Glycerophospholipids"
"HMDB08809","Glycerophosphocholines","Glycerophospholipids"
"HMDB08810","Glycerophosphocholines","Glycerophospholipids"
"HMDB08811","Glycerophosphocholines","Glycerophospholipids"
"HMDB08812","Glycerophosphocholines","Glycerophospholipids"
"HMDB08813","Glycerophosphocholines","Glycerophospholipids"
"HMDB08814","Glycerophosphocholines","Glycerophospholipids"
"HMDB08815","Glycerophosphocholines","Glycerophospholipids"
"HMDB08816","Glycerophosphocholines","Glycerophospholipids"
"HMDB08817","Glycerophosphocholines","Glycerophospholipids"
"HMDB08818","Glycerophosphocholines","Glycerophospholipids"
"HMDB08819","Glycerophosphocholines","Glycerophospholipids"
"HMDB08820","Glycerophosphocholines","Glycerophospholipids"
"HMDB08821","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08822","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08823","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08824","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08825","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08826","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08827","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08828","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08829","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08830","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08831","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08832","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08833","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08834","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08835","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08836","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08837","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08838","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08839","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08840","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08841","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08842","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08843","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08844","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08845","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08846","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08847","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08848","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08849","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08850","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08851","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08852","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08853","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08854","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08855","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08856","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08857","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08858","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08859","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08860","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08861","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08862","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08863","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08864","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08865","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08866","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08867","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08868","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08869","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08870","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08871","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08872","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08873","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08874","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08875","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08876","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08877","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08878","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08879","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08880","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08881","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08882","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08883","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08884","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08885","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08886","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08887","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08888","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08889","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08890","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08891","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08892","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08893","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08894","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08895","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08896","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08897","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08898","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08899","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08900","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08901","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08902","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08903","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08904","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08905","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08906","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08907","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08908","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08909","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08910","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08911","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08912","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08913","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08914","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08915","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08916","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08917","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08918","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08919","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08920","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08921","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08922","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08923","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08924","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08925","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08926","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08927","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08928","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08929","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08930","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08931","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08932","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08933","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08934","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08935","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08936","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08937","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08938","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08939","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08940","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08941","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08942","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08943","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08944","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08945","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08946","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08947","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08948","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08949","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08950","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08951","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08952","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08953","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08954","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08955","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08956","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08957","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08958","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08959","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08960","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08961","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08962","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08963","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08964","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08965","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08966","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08967","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08968","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08969","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08970","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08971","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08972","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08973","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08974","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08975","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08976","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08977","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08978","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08979","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08980","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08981","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08982","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08983","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08984","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08985","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08986","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08987","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08988","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08989","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08990","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08991","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08992","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08993","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08994","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08995","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08996","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08997","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08998","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB08999","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09000","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09001","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09002","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09003","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09004","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09005","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09006","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09007","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09008","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09009","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09010","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09011","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09012","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09013","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09014","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09015","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09016","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09017","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09018","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09019","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09020","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09021","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09022","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09023","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09024","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09025","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09026","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09027","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09028","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09029","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09030","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09031","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09032","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09033","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09034","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09035","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09036","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09037","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09038","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09039","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09040","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09041","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09042","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09043","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09044","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09045","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09046","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09047","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09048","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09049","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09050","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09051","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09052","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09053","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09054","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09055","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09056","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09057","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09058","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09059","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09060","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09061","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09062","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09063","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09064","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09065","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09066","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09067","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09068","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09069","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09070","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09071","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09072","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09073","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09074","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09075","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09076","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09077","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09078","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09079","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09080","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09081","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09082","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09083","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09084","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09085","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09086","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09087","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09088","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09089","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09090","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09091","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09092","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09093","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09094","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09095","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09096","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09097","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09098","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09099","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09100","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09101","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09102","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09103","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09104","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09105","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09106","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09107","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09108","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09109","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09110","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09111","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09112","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09113","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09114","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09115","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09116","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09117","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09118","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09119","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09120","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09121","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09122","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09123","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09124","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09125","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09126","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09127","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09128","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09129","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09130","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09131","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09132","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09133","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09134","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09135","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09136","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09137","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09138","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09139","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09140","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09141","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09142","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09143","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09144","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09145","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09146","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09147","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09148","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09149","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09150","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09151","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09152","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09153","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09154","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09155","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09156","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09157","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09158","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09159","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09160","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09161","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09162","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09163","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09164","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09165","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09166","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09167","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09168","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09169","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09170","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09171","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09172","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09173","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09174","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09175","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09176","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09177","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09178","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09179","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09180","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09181","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09182","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09183","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09184","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09185","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09186","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09187","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09188","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09189","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09190","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09191","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09192","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09193","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09194","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09195","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09196","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09197","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09198","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09199","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09200","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09201","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09202","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09203","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09204","Glycerophosphoethanolamines","Glycerophospholipids"
"HMDB09205","Glycerophosphoethanolamines","Glycerophospholipids"
