"P7122","P7147","P7150","P7153","P7184","P7238","P7406","P7408","P7421","P7445","P7486","P7547","P7658","P7662","P7744","P7759","P7791","P7843","P7847","P7855","P7858","P7860","P7861","P7862","P7870","P7874","P7875","P7879","P7899","P7904","P7906","P7908","P7909","P7910","P7911","P7912","P7938","P7941","P7947","P7948","P7955","P7971","P7989","P8095","P8226","P8244","P8264","P8283","P8332","P8336","P8361","P8374","P8377","P8406","P8452","P8462","P8466","P8467","P8475","P8483","P8485","P8496","P8523","P8534","P8537","P8550","P8564","P8565","P8573","P8577","P8589","P8591","P8592","P8624","P8629","P8675","P8683","P8746","P8749","P8753","P8754","P8758","P8764","P8765","P8774","P8776","P8783","P8784","P8788","P8789","P8794","P8800","P8802","P8806","P8807","P8841","P8843","P8847","P8878","P8892","P9126","P9148"
417,912,637,2883,2137,1205,276,3532,5450,6348,7073,2496,1720,1135,4186,3420,763,8449,1011,849,2989,713,1979,1186,733,2867,NA,1964,732,3650,252,1675,866,1257,504,1470,25639,16005,16147,10413,2315,6649,570,22594,249,1600,131,2385,2766,449,4077,1431,1510,9408,591,8515,20744,342,14843,3145,11961,5111,25028,1427,5958,1529,1122,1281,1962,2305,1113,4149,9237,7646,600,425,6402,162,1302,1690,1124,338,2569,2178,2028,973,598,513,82,3332,1820,3417,350,NA,2083,1080,594,1308,3523,2340,1310,391
1387714,153941,661105,1072851,3025184,NA,113893,10498778,5281718,83326674,16961886,1562646,8283194,620061,1059309,10252584,1384726,10453171,344477,2356601,967013,2125001,453451,829196,2447735,1475089,12094048,309572,243124,918064,1773654,807298,203197,160087,3692592,180229,10205915,43729395,2419895,20727273,621260,11883130,4275121,5238090,3725450,309033,NA,114488,239765,1031081,1892299,47569976,1696006,11367133,339347,9250851,222828,3806102,21877437,4716617,12627583,27689380,8905483,214547,13162760,1076341,16183973,3342097,8077050,310827,210240,2510498,2833537,3758694,332405,21730088,4137123,34168,4100954,3330597,234823,15783689,455254,331023,481813,712676,1109148,33965,217848,214557,539392,3127282,104237,581189,21712682,4631774,352524,1072071,186082,15494883,703190,80562
382,613,285,1087,1009,2384,2407,2141,1825,18087,5642,878,1791,332,512,4588,315,16522,542,867,2445,838,473,564,759,571,4223,460,276,633,838,1291,300,277,1047,503,5263,12395,665,4616,482,55492,1907,962,5633,249,1527,435,494,2829,548,10597,248,4662,4505,1675,145,1186,4801,816,1380,6732,2962,2200,3598,2897,3072,2855,9470,575,501,364,677,8256,10653,10252,3669,1723,4639,1936,454,9820,665,694,566,1688,480,120,1017,417,2442,1544,641,3452,6393,6857,509,714,674,7504,1129,352
8,NA,2750,2977,4979,11395,NA,3841,29414,54438,55701,NA,13390,87,6,38705,458,89980,1813,4888,9493,236,NA,2944,1385,701,1088,NA,350,34,1575,9443,49,1444,1377,419,98761,137712,138191,49457,1,74340,25667,177426,14684,1,205,1,NA,130,51,1677,NA,6538,1143,43065,88430,1034,89219,20117,44444,38168,60074,7936,57462,22169,13468,5059,18821,NA,1131,164,45202,30834,4241,20486,67707,8,815,2651,NA,8,19,NA,NA,NA,NA,3,NA,NA,1206,2224,NA,NA,6088,3777,1210,NA,5213,26557,15240,61
NA,NA,27,581,12,116,NA,775,566,1514,1998,NA,115,NA,NA,1239,NA,3134,NA,NA,46,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,169,NA,NA,NA,NA,2888,4250,3304,1227,NA,2366,373,4231,83,NA,NA,NA,NA,17,8,NA,NA,1858,22,811,2531,14,3466,310,1516,1013,1660,29,1479,202,336,36,269,NA,NA,NA,817,1007,58,254,1352,NA,347,621,7,NA,NA,NA,NA,NA,5,NA,11,NA,227,557,NA,56,47,116,218,NA,726,1103,280,NA
4415,6579,35113,377480,34497,131110,13343,484161,391808,888142,1010189,5696,102369,6107,6515,667414,7026,2016911,20974,43068,94377,8087,6213,22395,14402,8936,44091,5498,11777,7618,14352,109624,5283,28145,19876,6772,1686823,2651283,1755589,697407,10128,1364067,345522,2768173,135306,3574,17054,2263,2268,21235,10526,30334,6613,1040770,74784,567964,1461515,18735,1941963,192657,830200,542943,1188496,75897,811727,172684,238340,83823,199093,2949,16190,9192,537138,574908,73856,159239,827261,12820,233425,371120,3966,13780,3461,5069,4511,39975,10898,2024,9928,5311,193536,339570,4048,117419,84427,95139,161223,6525,493141,701168,165789,6656
19561,22637,198846,1958736,186213,690583,28633,2580737,2297797,4471562,5628037,7691,562604,17023,25348,3475092,37820,11102065,105761,232799,539576,26725,15538,106805,67261,46417,262224,7942,63235,30427,73941,580689,14551,144651,98735,31823,9251789,14104910,10494303,3899055,56229,7725381,1840742,14711376,729920,2589,56036,827,9203,87253,37890,168111,26817,5478883,408571,3247929,8767351,97411,10450319,1142672,4548992,2765252,6132468,406238,4598040,1031630,1249276,258452,1054229,14773,69572,41034,2984562,3299542,385092,941073,4404922,16173,1152231,2270529,3307,51283,923,3751,4519,171699,46492,503,17735,13894,1025618,1793872,3964,662301,433558,544159,979227,2513,2668503,3903610,987730,16602
NA,47,1597,19975,1620,6487,61,24994,20987,49300,57038,64,5195,134,46,35958,210,115854,867,1981,4275,229,45,999,459,196,1686,19,262,119,441,5369,NA,1178,780,241,93093,154193,98437,38746,149,75229,17053,155534,6481,NA,324,NA,NA,628,336,1331,128,58152,3404,31377,81677,810,109690,10171,45387,28972,63109,3234,44469,8484,12279,3360,10250,NA,580,169,29975,31304,3793,8113,44296,NA,11614,19738,13,437,NA,NA,NA,1666,236,NA,143,20,8958,17647,NA,5557,3798,4122,8384,22,25544,35822,8098,44
691,855,10829,118780,10447,41494,1148,152822,141647,269153,346368,251,33355,757,1194,214569,1890,675688,5549,12801,32031,1335,719,5734,3553,2493,14627,175,3243,1569,3545,34460,667,7590,5336,1464,571429,866189,654540,235824,2141,467449,112537,882941,43495,NA,3138,NA,NA,4490,2135,9409,1213,334465,23029,195918,538277,5311,641701,69165,275176,170281,381213,23971,283862,62845,75417,13825,63795,NA,3617,1975,183370,202380,22384,56535,271485,369,67810,139149,41,2434,NA,NA,24,9534,2558,NA,682,616,60643,108961,66,37799,25685,31216,59502,NA,165668,237951,57266,709
NA,NA,136,3417,200,987,NA,4865,5136,9050,12080,NA,1139,NA,NA,6414,NA,24290,NA,28,1042,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,1210,NA,58,20,NA,17980,24959,23775,9913,NA,15952,2907,25513,1215,NA,NA,NA,NA,NA,NA,NA,NA,12321,164,6847,19362,55,19305,2391,10191,3766,10267,397,10325,1618,2876,128,2055,NA,NA,NA,4132,6557,379,1543,5813,NA,1939,4585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1868,3794,NA,780,575,671,1255,NA,5479,6788,1416,NA
