"P7122","P7147","P7150","P7153","P7184","P7238","P7406","P7408","P7421","P7445","P7486","P7547","P7658","P7662","P7744","P7759","P7791","P7843","P7847","P7855","P7858","P7860","P7861","P7862","P7870","P7874","P7875","P7879","P7899","P7904","P7906","P7908","P7909","P7910","P7911","P7912","P7938","P7941","P7947","P7948","P7955","P7971","P7989","P8095","P8226","P8244","P8264","P8283","P8332","P8336","P8361","P8374","P8377","P8406","P8452","P8462","P8466","P8467","P8475","P8483","P8485","P8496","P8523","P8534","P8537","P8550","P8564","P8565","P8573","P8577","P8589","P8591","P8592","P8624","P8629","P8675","P8683","P8746","P8749","P8753","P8754","P8758","P8764","P8765","P8774","P8776","P8783","P8784","P8788","P8789","P8794","P8800","P8802","P8806","P8807","P8841","P8843","P8847","P8878","P8892","P9126","P9148"
NA,NA,134322,344617,NA,785393,NA,2211857,NA,657847,NA,392276,NA,NA,NA,NA,NA,1293017,NA,NA,NA,NA,NA,163034,157085,NA,127954,NA,NA,78094,NA,NA,NA,NA,19094,NA,207566,405889,NA,448008,NA,NA,NA,89081,NA,NA,NA,1369756,NA,83161,NA,NA,966273,NA,NA,840442,NA,NA,1610542,NA,251861,215548,NA,NA,NA,80939,NA,NA,NA,NA,NA,911260,976407,NA,NA,NA,NA,76619,2279218,NA,359353,98677,NA,137938,NA,NA,100107,NA,NA,NA,NA,NA,21324,NA,90805,NA,767845,NA,293070,NA,NA,NA
NA,NA,NA,NA,NA,NA,11577,NA,NA,NA,3036,NA,NA,480,NA,NA,NA,2141,NA,NA,NA,NA,NA,NA,197,156,72908,NA,NA,NA,NA,407,565,NA,NA,NA,1074,NA,NA,20083,NA,23397,NA,NA,104231,NA,65090,NA,NA,384346,NA,NA,NA,NA,84809,3302,NA,233,739,NA,NA,NA,47830,260027,398,1216,1890,103442,328,NA,NA,17299,NA,NA,15368,12802,62230,50368,6187,2743,360,2207,2669,NA,472,NA,NA,NA,430,NA,269,294,NA,77690,NA,883,2413,1703,52233,NA,7988,NA
NA,NA,1590822,NA,82271,NA,597267,NA,NA,NA,2809511,151081,NA,NA,NA,NA,NA,1257756,NA,NA,NA,NA,NA,NA,NA,NA,14299770,NA,NA,NA,NA,NA,NA,NA,NA,NA,2544129,4589086,NA,328370,NA,352862,NA,NA,7773380,NA,1002080,NA,NA,363095,NA,NA,3768771,NA,5660787,607505,NA,95962,2291452,NA,NA,NA,17754554,1127685,NA,5319387,NA,2610851,659533,NA,NA,1970356,NA,NA,NA,261626,919074,1316027,70571,221145,NA,1662179,NA,NA,625059,NA,266214,NA,NA,NA,415740,458332,NA,6804372,4690511,NA,5815078,956464,6392153,635478,NA,NA
NA,8173,NA,126909,NA,NA,NA,NA,44494,NA,118718,20635,NA,736,NA,24012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,414512,NA,NA,NA,NA,659,NA,452,NA,221,10197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150901,NA,711,NA,NA,302,NA,55034,NA,NA,NA,209423,NA,NA,NA,5771,NA,NA,NA,NA,NA,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,33171,4936,NA,NA,NA,79186,NA,NA,NA,NA
NA,NA,NA,118,NA,NA,11900,NA,NA,6963,180,NA,NA,NA,NA,NA,NA,12289,NA,NA,NA,NA,NA,NA,1674,722,NA,2043,NA,113,2996,NA,NA,NA,NA,NA,NA,NA,4122,159904,NA,NA,NA,1028,NA,NA,NA,NA,NA,NA,NA,16224,6515,NA,NA,3313,NA,1044,NA,19,NA,NA,81461,38013,NA,NA,15207,NA,NA,NA,NA,38311,NA,NA,NA,6106,811958,4275,NA,25110,NA,NA,NA,19488,NA,578,5459,NA,NA,NA,NA,NA,3215,2174,NA,NA,NA,NA,67,5866,NA,NA
NA,NA,118022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82145,NA,NA,NA,NA,NA,NA,NA,NA,1668942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84848,NA,NA,NA,NA,NA,NA,NA,NA,NA,764659,147926,NA,NA,NA,NA,NA,NA,4420360,NA,NA,494649,NA,515890,NA,NA,NA,NA,NA,NA,NA,NA,320706,NA,NA,NA,81211,NA,NA,53838,NA,NA,158392,NA,NA,NA,NA,NA,NA,755690,207331,489801,NA,NA,437278,NA,NA,NA
NA,NA,NA,NA,NA,NA,306100,NA,NA,NA,NA,NA,NA,NA,372392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391488,219554,409630,NA,NA,NA,204543,1652277,NA,NA,71286,NA,NA,NA,58802,237688,714205,NA,NA,NA,NA,NA,NA,70982,NA,541213,NA,NA,NA,NA,NA,NA,NA,NA,59065,166353,NA,11577143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3001780,NA,NA,NA,155277,NA,NA,290051,NA,2503775,NA,NA,413065,388250,NA,NA,174277,NA,NA,NA,NA,38384,201010,NA,NA,NA
266,NA,NA,NA,2391,504,4228,NA,2960,NA,NA,457,NA,2762,30618,2848,1578,NA,1830,2087,NA,NA,2295,NA,1028,27833,11472,818,NA,6611,NA,NA,20454,197,1973,321,NA,NA,NA,3074,60,NA,NA,510,NA,531,NA,2177,1807,688,61646,197,1400,NA,583,6822,NA,355,3604,983,33805,NA,822146,476,NA,NA,1217,NA,NA,12830,NA,3520,6348,NA,NA,NA,587075,NA,NA,NA,2580,NA,NA,33048,87162,NA,NA,3105,5062,NA,NA,1799,4838,22826,597,NA,NA,NA,14880,201,NA,NA
NA,NA,249785,NA,NA,NA,185541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2853911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75074,NA,NA,NA,NA,NA,NA,NA,NA,NA,1497797,NA,NA,NA,NA,NA,NA,NA,11534632,NA,NA,701795,NA,830473,NA,NA,NA,NA,NA,NA,NA,NA,1514625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472401,56958,58679,NA,NA,723689,NA,NA,NA
NA,NA,13217,NA,NA,5050,211434,NA,NA,NA,NA,NA,NA,3490,5774,NA,NA,10112,NA,6426,NA,884,404,NA,NA,7982,615211,NA,NA,1228,NA,NA,900,NA,365,NA,NA,368,NA,4576,1863,NA,NA,NA,77984,NA,NA,NA,NA,26335,45417,NA,NA,NA,138919,35791,NA,3098,NA,9166,18616,NA,10766965,584,NA,274065,7,460869,NA,NA,NA,47439,861,NA,NA,NA,1376588,13019,NA,NA,NA,3762,NA,473,160173,NA,762,NA,NA,NA,NA,879,4616,633926,5572,79211,NA,NA,563945,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5521,1587,NA,NA,NA,NA,NA,2231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1033,31259,NA,358,NA,NA,2190,909,NA,NA,NA,517,NA,537518,NA,NA,NA,NA,NA,NA,NA,NA,NA,4539,NA,NA,398,148304,NA,NA,NA,NA,NA,NA,4794,5187,NA,NA,NA,NA,NA,NA,2656,NA,16173,NA,NA,NA,4645,5769,NA,NA,NA
NA,NA,NA,NA,NA,48,203144,NA,18,NA,NA,NA,7433,NA,NA,10,NA,NA,519,3386,NA,NA,NA,6979,181,1482,30427,6713,5134,NA,3275,NA,NA,NA,NA,NA,NA,NA,NA,16400,2234,NA,NA,NA,NA,NA,NA,NA,NA,NA,446,NA,3,NA,10781,98,NA,1919,625,NA,38,NA,2355995,NA,NA,46763,8,79372,564,NA,NA,47850,NA,NA,581,NA,912997,1142,NA,40,417,NA,NA,11901,2024,NA,25,NA,NA,4341,NA,7,NA,78526,3,NA,NA,2,66188,NA,NA,NA
NA,NA,NA,NA,NA,NA,1119132,NA,NA,NA,112653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75175,NA,61899,NA,NA,46019,NA,56016,NA,NA,NA,NA,451689,NA,NA,NA,1510951,NA,NA,NA,NA,NA,NA,NA,25319,32208,NA,221940,140849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4918570,NA,NA,76905,48010,104840,NA,NA,NA,809897,NA,NA,NA,NA,13989989,155584,NA,NA,61676,NA,NA,459474,122212,259384,32587,NA,NA,NA,NA,NA,NA,86485,NA,NA,NA,NA,157902,NA,NA,NA
7612298,19975373,9692260,1503552,1290966,271435,32024,3663665,311265,272946,439429,2413662,497425,5628952,2308769,202702,1614363,195697,1290404,4916295,4759157,1835526,10179283,2421792,8936468,16866698,461673,8214111,5519492,16381061,12876845,2987381,884508,3006852,1508138,889896,239018,1081647,4950652,2350841,12418985,1659641,97474,182534,41664,5844452,31283,23902351,16955148,257444,733312,2052525,4191321,523272,126618,1075990,18907347,658213,558197,294913,1296648,776408,2438605,135087,116252,482960,372316,181041,4695108,74222397,10773109,948730,2440107,8546765,347422,410537,187386,80321,153557,221842,3043534,110836,1919734,2371105,34918783,4308149,948911,14036171,23413249,4926393,180089,408175,13984940,88906,235116,116152,376691,5789054,991360,144109,15188980,205950
4079264,7050575,4364569,1238865,1113435,307882,24412,2434061,291352,314473,400061,1702844,448581,3075975,1595715,189886,1236001,241503,992175,3061442,3008807,1437396,5590961,1828744,4455638,6873118,324876,4530690,3185231,6473849,5674320,2074539,739356,2003950,1255473,716015,286503,796552,3080303,1865914,6369504,1178163,87808,226006,57904,3665999,22545,8342425,6563342,293465,669807,1593128,2746011,466045,123211,1034596,5917665,643056,581731,293915,997072,634792,1610567,200181,115286,396779,377966,162628,3037632,13810736,5301051,956726,1906389,4836813,304587,392773,159430,93999,95449,218094,2040734,110028,1488210,1452831,9958795,2569147,769697,6291320,8208787,3108671,154940,421678,6924247,74840,240362,98267,328845,3534893,785028,141529,6746982,148779
37332,77016,47331,6647,2025,452,NA,17282,NA,NA,471,10144,518,28739,11576,NA,2995,NA,4355,20834,23713,6870,63385,11969,51080,75341,NA,47330,29408,81370,59752,14734,2339,15588,6004,2086,NA,2997,15401,9407,63468,3451,NA,NA,NA,22156,NA,107776,81349,NA,1756,8430,21563,287,NA,2736,62792,581,2075,NA,5313,914,7123,NA,NA,NA,149,NA,25602,137703,56293,2755,12163,42687,NA,NA,NA,NA,NA,NA,15335,NA,8007,11293,135934,20210,1082,71851,110650,28934,NA,217,69390,NA,NA,NA,NA,28919,3017,NA,52265,NA
58099,146979,75939,14716,9004,1149,862,38655,482,1175,791,19979,1354,57663,24132,94,13662,1014,8380,45531,52493,13225,70534,18861,102642,108571,NA,59808,39784,65293,107251,24987,7839,32214,7998,6155,721,9628,49360,17451,111210,13057,569,NA,327,35580,650,153693,133881,206,768,11746,34287,1607,NA,6110,133574,1331,8136,NA,8435,1638,25973,328,NA,2031,332,NA,44579,268732,101029,5067,20607,56997,780,1183,306,NA,480,143,33859,725,18753,17360,214197,49506,895,117431,136654,49685,NA,1621,115252,NA,263,NA,2426,50904,7760,843,136483,302
820794,4058401,1623119,24471,13121,624,NA,108785,NA,NA,291,82709,NA,507559,79946,NA,16454,NA,12260,326298,242046,45864,1203972,84240,1065398,3205381,NA,727797,548925,2799857,2001238,142342,3756,126747,31505,4240,NA,7470,272390,96449,1425430,13356,NA,NA,NA,263681,NA,6412272,3460292,NA,630,72911,267272,NA,NA,12543,4799778,793,1777,NA,31434,3677,24320,NA,NA,NA,NA,NA,259718,40834019,1175737,14276,71273,830690,NA,NA,NA,NA,NA,NA,121992,NA,36021,103878,10502570,217864,9451,2270350,4737726,333260,NA,NA,1943508,NA,NA,NA,954,373192,10776,NA,1942985,NA
3829100,14312474,6393285,325804,206876,4379,NA,1347791,5232,5774,27251,736329,26328,3066814,745527,NA,296071,442,213013,2125324,1873944,430505,5372466,678979,4590273,10015033,10109,4495579,2515187,9593888,8521808,982685,110806,1116983,273161,123720,NA,177935,2167827,727184,7477003,332873,NA,NA,NA,2383235,NA,16287241,11590994,NA,55617,547196,1733530,35145,NA,150614,11949439,45908,41967,2038,268979,64623,584078,NA,NA,24363,9787,NA,1969477,42868532,6435873,140740,695573,4496601,848,12218,493,NA,NA,828,1119310,NA,510314,814546,24683705,1945426,79171,8717701,15993038,2372504,NA,3326,8847764,NA,697,NA,21406,2511383,162971,NA,10022600,NA
2752,485778,33440,160,199698,11422071,NA,16484,239416,NA,161177,11076137,NA,361474,NA,1305,1650,3238,NA,NA,295,NA,NA,NA,3244,NA,NA,NA,NA,NA,1914,NA,117490,4787,16988,NA,NA,353765,20962,NA,204614,NA,8705,7658,NA,203450,NA,174913,NA,10189,6627,1094990,454927,9590,85906,198887,1658,NA,NA,360,2785,746254,193636,NA,NA,89,830367,NA,2052,1278288,NA,5602,NA,660,NA,NA,NA,NA,625,195732,152738,45834,75,NA,444,NA,38153,36767,632,1035,18009,NA,2172,362239,NA,NA,NA,NA,2324,NA,NA,423540
107065,758,1638,8862,67913,13594,7788,29775,19865,194439,48151,13318,3392,14265,883,272,607,2649559,10858,2618,39966,4141,9026,11318,261,4756,134554,427,15124,3206,64934,379841,NA,26692,16852,7220,9916,62100,484,3484,4005,15375,437,23531,549230,NA,30259,NA,1275,84436,2972,22441,4102,2399,1419,2462,156968,3662,2674,28755,2438,9806,NA,9768,1867566,5400,15988,447,30054,6529,1948,48153,43667,3790,12919,25873,1263565,26856,59179,709,1561,16794,2460,NA,2696,90448,NA,NA,5137,2664,20618,19359,1260,5390,198483,1605,2169,NA,111,21576,997604,1066562
50150,185,467,4982,48374,8408,4628,18168,13326,124429,32375,7417,903,9025,294,NA,548,1720801,7122,1421,25764,2020,5666,7121,5339,3799,93049,NA,9049,2743,42741,261501,NA,17445,10343,3521,6489,41024,184,3285,2828,9907,NA,14819,366914,NA,19531,NA,NA,51163,1409,17015,3123,1816,655,1665,109068,2128,1202,20331,1696,6547,NA,5160,1332251,3361,9577,298,19824,4486,569,35434,28141,2431,9541,17972,854545,16105,37751,894,597,9976,347,2463,346,43863,NA,NA,3035,1488,9566,9139,NA,3199,133660,191,1543,NA,NA,13210,700521,757487
92912,8859,458,1831,46256,4787,8355,22745,14995,105899,29078,9142,923,8366,438,117,910,1388954,8209,1308,32727,3528,2637,3577,7747,2160,104147,367,12561,889,37211,259619,485,16667,11205,2738,5693,37377,2052,2757,726,14226,NA,11830,331627,1324,26547,1466,344,41417,1216,14870,861,1438,907,828,92956,2136,1411,14740,559,4955,41,2840,1369908,2262,11417,111,20136,2934,1092,22746,24626,1929,11836,21254,426888,24104,34846,1193,329,12113,1144,1099,659,30462,1052,1162,4978,864,21645,13130,1053,5206,125018,952,1621,119,337,14611,734507,861068
110473,21859,22691,267907,201696,5463085,426330,573517,488532,2510908,55053,94485,94606,238391,745981,240801,190478,6101613,49782,93762,359693,840654,318729,153251,775596,40938,400292,114245,152723,132389,107599,1404356,98864,167384,324994,10022,1975283,115812,8841679,886504,83752,570892,8601708,8320277,459658,240379,859079,199307,111726,8757482,293901,649912,144909,321996,554457,722363,202034,116397,146371,2734218,323194,207017,2030,742301,2990085,1778170,2890227,3753080,30891,25690,143871,866431,274374,141503,4314876,486338,135874,11776,3849703,3659686,109552,1150398,10659,38367,96792,29895,3971414,204073,77353,68512,139893,250484,447199,997625,4874099,10011444,165123,10700,999371,2477101,160489,89645
NA,5260,1281,195,2523,NA,NA,636,NA,540,18794,NA,5248,71727,120076,NA,79927,NA,26465,11166,157504,40988,29626,27518,10200,40620,NA,77263,65639,NA,18787,35508,76001,66734,11925,7919,1652,8447,NA,NA,42036,NA,NA,NA,NA,NA,NA,33186,41032,NA,2251,6459,2579,63211,NA,291,19849,16965,52054,25770,47923,NA,NA,NA,NA,NA,NA,NA,5419,95777,20532,NA,135775,70000,NA,NA,NA,NA,NA,NA,78251,NA,NA,12590,31851,6195,NA,82027,45697,72280,19037,NA,14620,NA,NA,NA,NA,NA,33184,NA,17840,NA
88291,22462,18375,187248,163747,8022465,637130,673862,642410,3648197,61422,98071,92062,168292,411659,312579,136765,9190226,45899,53079,396892,472205,194994,133003,585993,46025,593893,90472,138491,111808,90260,2096526,101675,111559,191693,21466,2848221,133370,12903988,646042,74009,841377,12699157,12209485,686368,227750,1275237,131355,109065,13079286,291300,631616,112749,305598,829744,641983,171907,137990,102392,3869330,224520,177692,1534,1057321,4284057,2599302,4085140,5691182,37784,22153,150355,1136581,191477,109852,6364974,613385,222955,16918,5808377,5186379,98223,1676224,16466,58321,73211,37097,5253728,180659,67783,67378,120157,311615,252884,1514770,7205424,14952889,133110,18135,1377731,3686019,213388,105690
81956,217203,110304,17876,15546,NA,5868,49632,3121,1897,1827,30283,2853,72139,29230,459,17693,1051,14228,74873,62021,19963,110701,30054,103398,141777,375,98722,55197,132933,150482,36260,9253,40010,15244,13003,420,11632,68840,29443,156156,18716,NA,NA,NA,69266,NA,210781,179252,NA,4089,21908,53972,4288,NA,11088,176159,8490,3560,98,13083,1971,31483,NA,NA,1234,1169,NA,62026,470075,141008,8161,29489,98402,559,3756,213,NA,NA,285,39368,NA,24735,28191,312943,57615,3445,156504,228072,64955,NA,701,163479,NA,NA,NA,1073,70521,10491,NA,196077,NA
35794,13955,95807,337009,200788,47269948,3902117,3026618,3426373,21021363,191712,320873,258186,34892,70109,1644027,18100,51735322,68329,31356,1592022,36682,430772,83390,815245,27577,3424099,32403,38586,144568,195166,12158058,211355,32728,70605,10614,16984238,381706,77106801,79809,152401,5286384,77634953,68134611,4153748,166859,7844934,48732,257768,77199471,1059289,1404844,138465,957068,5278192,2597628,220215,587831,40296,22886947,181393,271599,4310,6613663,26486503,15722305,22926455,33608863,174142,16672,517829,5041750,378844,74243,39124355,3330949,1255201,133587,33631464,31139729,62143,9966803,21613,29013,67352,24967,30201953,230204,10262,45347,72631,1651476,73540,9615606,42015948,89501293,210447,82730,7520088,22535101,1287568,429807
6766,1493,5261,58548,29209,5825560,611752,512075,569713,3530341,37636,48390,32639,6210,14254,231494,2376,5789016,7914,1930,233515,7288,33333,9760,135996,2333,499150,1923,4977,11268,25678,2332258,29578,2837,10403,1519,3308060,52069,7788170,38346,19956,925009,10673229,7511310,673318,30045,1371043,14344,43909,9739001,164810,231961,18736,139866,841593,406271,39215,75192,4049,3581852,29954,49750,142,1158379,4783549,2950093,3894512,5865795,21078,1508,71727,796546,57602,9970,6250417,535908,237093,13479,5986577,4579895,13275,1882655,4340,2915,4327,4064,4748809,39317,4851,9873,7333,248321,15076,1757429,6681609,12221712,39114,10418,1457334,3916445,175618,55184
5653,9972,5962,18984,34278,12123,5787,3918,11205,5566,8607,7224,1861,28836,18688,1857,3013,58528,7682,5415,34784,1696,10180,13525,37260,14603,1086,29813,30532,25173,16884,12537,46478,841,3066,6895,299,158,1200,2217,2065,3463,15352,43377,4070,10014,1319,32761,11561,NA,7240,27187,54596,6539,2599,14849,45051,4709,43926,1616,10355,352706,494,3549,2400,774,2323,2255,12008,3739,13190,24176,2838,2261,2728,2330,85999,3166,6826,1806,52275,2107,48497,13984,13849,76730,1454,42480,11609,26536,63734,2324,15895,7662,516,5554,378,5832,3048,5350,21722,30425
NA,NA,NA,3790,1025,464688,104834,77478,85256,347791,2743,4107,2265,NA,NA,40459,312,423733,NA,NA,39637,NA,NA,243,8752,NA,93490,NA,NA,NA,2436,259506,2113,NA,NA,NA,406767,6415,496927,NA,826,150359,934622,512424,136559,332,207574,150,17182,799656,23100,12706,615,18960,147188,65586,557,11152,NA,338485,NA,2590,NA,188147,532182,337121,356949,627135,1591,NA,9524,48787,6414,NA,627984,84185,47409,NA,570371,410984,NA,277355,NA,NA,NA,NA,410309,626,NA,NA,NA,42681,NA,253343,600960,1089436,663,524,173761,401156,29370,6468
45032,32255,48416,354480,118137,25418,24823,59693,899159,107391,26933,23956,108951,197516,24360,57252,25721,22472,209137,46406,43428,107396,57408,51480,102985,179675,30470,47931,28192,28536,31011,38544,251668,19134,44937,22321,21221,51754,34776,677004,97237,29161,154355,23904,9977,101607,25175,29444,33209,34555,23114,14337,16287,21783,31718,16574,18767,1180795,9903,28810,96603,73903,31146,31696,692892,98153,40741,28672,36964,55663,455970,24219,18459,38493,25164,26816,422539,41798,26025,12631,18339,28425,42295,27081,98491,28319,248213,216640,67765,55984,64199,35007,24071,41307,27435,101610,15399,106235,55317,21229,42180,70306
87762,NA,1226,358309,301325,NA,NA,13479,23438,NA,7807,13579,8343,74962,292775,NA,30228,NA,NA,17344,2208,4996,16063,5361,270643,10365,NA,328,22408,5066,NA,376,40093,5191,73241,NA,12620,46727,NA,1213723,3106,NA,NA,NA,NA,246520,NA,236629,54569,NA,21055,2346789,40153,2855,NA,224643,301294,NA,649567,21390,2176266,195919,NA,NA,NA,NA,NA,NA,471,17157,4054,1949863,328107,177572,NA,2079,5837,NA,NA,NA,6607,NA,NA,NA,23280,NA,96106,95787,95528,23470,NA,651,27718,NA,NA,NA,142439,NA,35661,NA,NA,NA
108974,NA,674,373236,369924,NA,NA,24458,34321,NA,15960,19033,13503,84926,344242,NA,41740,NA,NA,21686,2865,7196,25357,4027,264355,13240,NA,NA,27224,8212,NA,481,43757,3995,88573,238,23466,61366,NA,1122656,2330,NA,NA,NA,NA,323726,NA,278106,73625,NA,26777,2523322,55431,1363,NA,204649,342461,NA,723806,24654,2446437,217617,NA,NA,NA,NA,NA,NA,NA,24862,4836,2080629,405998,207718,NA,4594,10568,NA,NA,NA,9944,NA,NA,NA,33942,NA,131125,126821,138633,28215,NA,1542,38556,NA,NA,NA,146817,NA,58199,NA,NA,NA
NA,NA,NA,2930,472,158420,103099,57628,63082,164387,1501,2929,549,NA,NA,33848,NA,127111,NA,NA,33565,NA,287,NA,1245,NA,91208,NA,NA,NA,813,141934,778,NA,NA,NA,280883,4558,142929,NA,NA,128899,395518,149989,146691,NA,163494,NA,3364,308940,20642,3662,NA,16176,156246,48683,215,9743,NA,152687,NA,1275,NA,171091,313341,199246,159909,345817,942,NA,7015,27096,3850,NA,311717,57995,36498,447,232652,155502,NA,217688,NA,1171,NA,NA,172998,182,NA,NA,NA,36296,NA,182066,241447,436094,288,551,116637,202901,26928,4629
1652976,2377005,1480368,614279,541540,127811,6672,1313680,135299,132150,176414,913058,247176,1253772,731279,88497,685433,71459,568679,1486372,1376861,704764,2055199,859833,1804123,2218926,213166,1808449,1305734,1962122,2168498,992329,370669,935511,586852,368886,109230,427945,1677882,811650,2596511,734971,33301,76135,9907,1834069,7917,2348423,2116311,116627,273474,712785,1286092,223524,52227,467750,1875361,268686,186883,122203,447899,271290,1033106,65566,41160,217785,149130,74303,1491912,2737222,2358452,357078,850258,1995789,140102,167565,62886,28075,17164,99789,989227,48767,800220,647866,2798494,1213100,321870,2262219,2461332,1314387,66712,196293,2544863,32148,106289,39412,142945,1782639,430134,60767,3019992,91492
996,953,218783,2491,151026,875,13786,4109,564,3855,26111,NA,224203,2131,15132,397554,65891,15502,139474,2109,458683,NA,391,32935,2477,251,437,NA,NA,NA,69724,573,NA,46804,162662,NA,417,30544,235134,209,37315,10784,6311,30664,NA,2287,398353,133,NA,135648,65386,22492,76046,1365,1682,3948,61327,2472,5302,369,6609,224343,NA,5549,23777,NA,316347,13832,72336,51560,311,84573,NA,446,625,NA,NA,1610,4927,392,NA,9209,NA,NA,NA,NA,31526,5900,NA,564,6537,8887,2690,14351,NA,NA,210922,NA,114102,1221834,17134,NA
129,NA,NA,NA,NA,NA,NA,1931,NA,1265,NA,NA,NA,166242,NA,NA,NA,NA,588,74545,18790,NA,NA,66905,72425,142094,NA,22686,183,23602,1035,NA,62382,536,NA,125324,NA,NA,NA,NA,35477,NA,NA,NA,NA,NA,NA,1066,150,NA,NA,711,NA,71,NA,703,NA,1548,752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725,75125,NA,NA,NA,NA,NA,45450,NA,NA,NA,52651,NA,1307,76472,1993,144458,NA,64936,347,49764,NA,NA,1590,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4145,738775,NA,NA,NA,NA,24041,330629,95747,961,16810,327337,295051,637898,NA,115810,NA,101582,18553,2169,265722,11903,NA,578886,NA,NA,NA,NA,174384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4271,NA,22715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23980,325097,NA,NA,NA,NA,NA,189311,NA,NA,NA,238795,NA,1261,338423,23107,668393,NA,301734,NA,223914,NA,NA,16695,NA,NA,NA,NA,NA,2444,NA,NA,NA
5351,12459,970,19686,576,23282,NA,4623,391,NA,1066,3345,29530,718538,6081,NA,7372,NA,51161,401635,27058,NA,15547,382957,249169,884255,NA,61202,2760,178668,25847,1813,530808,221765,3579,1669951,NA,NA,NA,NA,68187,NA,NA,9777,NA,NA,NA,81803,46563,NA,NA,NA,NA,2032,NA,15157,12767,72584,74006,NA,324,716,NA,NA,NA,NA,NA,NA,NA,240962,128432,NA,1007,NA,15696,NA,NA,NA,NA,NA,208194,NA,167116,315096,158932,105892,2218,145244,15671,160845,3962,2519,102646,NA,NA,NA,9088,22945,35617,932,NA,NA
NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,305,1623,465226,NA,NA,NA,NA,15565,222363,65472,82,11163,222382,222619,354858,NA,77016,457,94267,10154,2438,155685,6862,NA,333072,NA,NA,NA,NA,137807,2516,NA,NA,NA,NA,NA,NA,286,NA,NA,NA,NA,3923,NA,23430,NA,19408,NA,NA,NA,NA,NA,581,NA,NA,NA,NA,NA,13068,226998,NA,NA,NA,710,42792,102701,4725,NA,NA,146567,NA,1941,183807,15488,337985,941,175814,NA,136993,403,NA,8533,NA,NA,NA,NA,NA,5313,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39546,273112,NA,NA,NA,NA,60013,314606,110333,883,42800,251729,269848,358333,NA,157603,NA,113686,14313,6036,124686,8121,NA,168236,NA,NA,NA,NA,275585,NA,NA,NA,NA,NA,NA,NA,515,NA,NA,NA,NA,NA,NA,47232,NA,62460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11050,402700,NA,NA,NA,NA,NA,29931,NA,NA,NA,160114,NA,760,156432,64542,165783,7899,213816,1517,164229,2578,NA,37099,NA,NA,NA,NA,3109,23576,1453,NA,NA
800285,885954,536592,744196,306645,207737,487905,285329,570972,408215,589094,280243,666059,283741,173994,866798,269821,142516,437083,182259,635424,480086,1289683,794309,624112,1054770,213259,240728,286388,922306,243662,480803,186813,642278,278774,406994,209819,450356,51351,341210,410373,1135576,37218,49363,27167,920474,25945,710487,519437,48170,1487500,200887,242185,1330973,16493,171204,477795,660247,421980,56200,201767,229944,11232,141264,779243,425461,364820,37709,429583,216519,301155,431572,838244,240615,73232,1625750,641369,106087,13188,707954,339316,94517,343607,261462,284426,616743,347001,573837,368213,226798,548392,766184,297548,8819,260534,70512,78106,510778,207479,172090,440526,429892
NA,NA,80,1265,NA,4,NA,NA,NA,NA,NA,NA,29895,206287,253,NA,NA,NA,51539,250307,91401,NA,39127,203911,214591,253751,NA,139030,NA,94615,9204,1265,98346,4506,NA,128707,NA,NA,NA,NA,228044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40757,NA,52247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5003,329660,NA,3,NA,NA,NA,16709,NA,NA,NA,124309,NA,1942,116691,47334,109729,5036,172478,NA,123613,4203,NA,24418,NA,NA,NA,NA,1784,22499,521,NA,NA
