"Method","RT","m.z","HMDB.ID","Metabolite","Cor.QI.Genedata","Compound","gd_RT","gd_m.z","CompoundID2"
"HILIC-pos",1.67,387.3515,"","","","","","","1.67_387.3515m/z_HILIC-pos"
"HILIC-pos",1.67,397.3448,"","","","","","","1.67_397.3448m/z_HILIC-pos"
"HILIC-pos",1.68,430.4025,"","","0.974","HILIC-pos_Cluster_1601","1.68","430.4024387","1.68_430.4025m/z_HILIC-pos"
"HILIC-pos",1.68,109.0648,"","","","","","","1.68_109.0648m/z_HILIC-pos"
"HILIC-pos",1.69,371.1474,"","","","","","","1.69_371.1474m/z_HILIC-pos"
"HILIC-pos",1.8,380.2419,"","","","","","","1.80_380.2419m/z_HILIC-pos"
"HILIC-pos",1.83,768.6104,"","","0.98","HILIC-pos_Cluster_2357","1.83","768.6109773","1.83_768.6104m/z_HILIC-pos"
"HILIC-pos",1.91,567.2944,"","","0.994","HILIC-pos_Cluster_2002","1.92","567.2941791","1.91_567.2944m/z_HILIC-pos"
"HILIC-pos",1.91,285.0495,"","","","","","","1.91_285.0495m/z_HILIC-pos"
"HILIC-pos",1.92,466.3298,"","","0.995","HILIC-pos_Cluster_1727","1.91","466.3298004","1.92_466.3298m/z_HILIC-pos"
"HILIC-pos",1.92,484.3403,"","","0.995","HILIC-pos_Cluster_1791","1.93","484.3398923","1.92_484.3403m/z_HILIC-pos"
"HILIC-pos",1.94,355.2618,"","","0.984","HILIC-pos_Cluster_1294","1.95","355.2617701","1.94_355.2618m/z_HILIC-pos"
"HILIC-pos",1.94,373.2722,"","","0.983","HILIC-pos_Cluster_1377","1.95","373.2722263","1.94_373.2722m/z_HILIC-pos"
"HILIC-pos",1.94,375.2793,"","","","","","","1.94_375.2793m/z_HILIC-pos"
"HILIC-pos",1.94,781.558,"","","","","","","1.94_781.5580m/z_HILIC-pos"
"HILIC-pos",1.95,426.3197,"","","0.982","HILIC-pos_Cluster_1585","1.97","426.3191957","1.95_426.3197m/z_HILIC-pos"
"HILIC-pos",1.95,504.3123,"","","0.875","HILIC-pos_Cluster_1843","1.95","504.3121512","1.95_504.3123m/z_HILIC-pos"
"HILIC-pos",1.95,313.215,"","","","","","","1.95_313.2150m/z_HILIC-pos"
"HILIC-pos",1.95,428.3264,"","","","","","","1.95_428.3264m/z_HILIC-pos"
"HILIC-pos",1.97,431.2759,"","","","","","","1.97_431.2759m/z_HILIC-pos"
"HILIC-pos",2.04,454.3509,"","","0.964","HILIC-pos_Cluster_1686","2.02","454.3507725","2.04_454.3509m/z_HILIC-pos"
"HILIC-pos",2.26,302.0522,"","","0.857","HILIC-pos_Cluster_1011","2.21","302.0521498","2.26_302.0522m/z_HILIC-pos"
"HILIC-pos",2.29,110.02,"","","","","","","2.29_110.0200m/z_HILIC-pos"
"HILIC-pos",2.35,285.0495,"","","","","","","2.35_285.0495m/z_HILIC-pos"
"HILIC-pos",2.35,303.06,"","","","","","","2.35_303.0600m/z_HILIC-pos"
"HILIC-pos",2.49,265.1425,"","","","","","","2.49_265.1425m/z_HILIC-pos"
"HILIC-pos",2.55,152.1065,"","","","","","","2.55_152.1065m/z_HILIC-pos"
"HILIC-pos",2.63,571.3719,"","","","","","","2.63_571.3719m/z_HILIC-pos"
"HILIC-pos",2.64,466.351,"","","0.963","HILIC-pos_Cluster_1729","2.62","466.3510897","2.64_466.3510m/z_HILIC-pos"
"HILIC-pos",2.99,246.169,"","","","","","","2.99_246.1690m/z_HILIC-pos"
"HILIC-pos",3.13,121.101,"","","","","","","3.13_121.1010m/z_HILIC-pos"
"HILIC-pos",3.16,431.2751,"","","","","","","3.16_431.2751m/z_HILIC-pos"
"HILIC-pos",3.17,247.1682,"","","","","","","3.17_247.1682m/z_HILIC-pos"
"HILIC-pos",3.17,299.2572,"","","","","","","3.17_299.2572m/z_HILIC-pos"
"HILIC-pos",3.18,357.2685,"","","","","","","3.18_357.2685m/z_HILIC-pos"
"HILIC-pos",3.18,375.2789,"","","","","","","3.18_375.2789m/z_HILIC-pos"
"HILIC-pos",3.18,428.3263,"","","","","","","3.18_428.3263m/z_HILIC-pos"
"HILIC-pos",3.18,456.3574,"","","","","","","3.18_456.3574m/z_HILIC-pos"
"HILIC-pos",3.19,337.2512,"","","0.88","HILIC-pos_Cluster_1217","3.13","337.2509064","3.19_337.2512m/z_HILIC-pos"
"HILIC-pos",3.19,355.2617,"","","0.901","HILIC-pos_Cluster_1295","3.13","355.2611396","3.19_355.2617m/z_HILIC-pos"
"HILIC-pos",3.19,373.2722,"","","0.924","HILIC-pos_Cluster_1378","3.13","373.2721725","3.19_373.2722m/z_HILIC-pos"
"HILIC-pos",3.19,454.3507,"","","0.744","HILIC-pos_Cluster_1685","3.13","454.3505457","3.19_454.3507m/z_HILIC-pos"
"HILIC-pos",3.19,173.132,"","","","","","","3.19_173.1320m/z_HILIC-pos"
"HILIC-pos",3.2,426.3196,"","","0.898","HILIC-pos_Cluster_1584","3.13","426.3191002","3.20_426.3196m/z_HILIC-pos"
"HILIC-pos",3.2,575.3416,"","","0.972","HILIC-pos_Cluster_2020","3.23","575.3413489","3.20_575.3416m/z_HILIC-pos"
"HILIC-pos",3.2,105.0699,"","","","","","","3.20_105.0699m/z_HILIC-pos"
"HILIC-pos",3.2,145.1007,"","","","","","","3.20_145.1007m/z_HILIC-pos"
"HILIC-pos",3.21,447.2488,"","","","","","","3.21_447.2488m/z_HILIC-pos"
"HILIC-pos",3.32,573.3876,"","","0.9","HILIC-pos_Cluster_2017","3.28","573.3872864","3.32_573.3876m/z_HILIC-pos"
"HILIC-pos",3.61,353.2462,"","","","","","","3.61_353.2462m/z_HILIC-pos"
"HILIC-pos",3.66,129.0656,"","","","","","","3.66_129.0656m/z_HILIC-pos"
"HILIC-pos",3.68,147.076,"","","","","","","3.68_147.0760m/z_HILIC-pos"
"HILIC-pos",3.7,247.0705,"","","","","","","3.70_247.0705m/z_HILIC-pos"
"HILIC-pos",3.7,290.0648,"","","","","","","3.70_290.0648m/z_HILIC-pos"
"HILIC-pos",3.75,357.2774,"","","","","","","3.75_357.2774m/z_HILIC-pos"
"HILIC-pos",3.84,190.0493,"","","","","","","3.84_190.0493m/z_HILIC-pos"
"HILIC-pos",3.88,197.055,"","","","","","","3.88_197.0550m/z_HILIC-pos"
"HILIC-pos",3.91,152.0339,"","","0.918","HILIC-pos_Cluster_0179","3.98","152.0338752","3.91_152.0339m/z_HILIC-pos"
"HILIC-pos",3.96,136.0389,"","","0.967","HILIC-pos_Cluster_0102","3.98","136.0389628","3.96_136.0389m/z_HILIC-pos"
"HILIC-pos",3.98,154.0493,"","","0.972","HILIC-pos_Cluster_0193","3.98","154.0493668","3.98_154.0493m/z_HILIC-pos"
"HILIC-pos",3.98,155.0525,"","","","","","","3.98_155.0525m/z_HILIC-pos"
"HILIC-pos",4.12,301.0443,"","","0.949","HILIC-pos_Cluster_1000","4.11","301.0441754","4.12_301.0443m/z_HILIC-pos"
"HILIC-pos",4.16,245.0582,"","","","","","","4.16_245.0582m/z_HILIC-pos"
"HILIC-pos",4.22,315.0598,"","","0.96","HILIC-pos_Cluster_1089","4.2","315.0600201","4.22_315.0598m/z_HILIC-pos"
"HILIC-pos",4.24,100.0775,"","","","","","","4.24_100.0775m/z_HILIC-pos"
"HILIC-pos",4.24,101.0791,"","","","","","","4.24_101.0791m/z_HILIC-pos"
"HILIC-pos",4.24,141.1018,"","","","","","","4.24_141.1018m/z_HILIC-pos"
"HILIC-pos",4.25,100.0758,"","","0.979","HILIC-pos_Cluster_0011","4.25","100.0758719","4.25_100.0758m/z_HILIC-pos"
"HILIC-pos",4.25,100.0744,"","","","","","","4.25_100.0744m/z_HILIC-pos"
"HILIC-pos",4.25,102.0824,"","","","","","","4.25_102.0824m/z_HILIC-pos"
"HILIC-pos",4.26,544.3249,"","","0.931","HILIC-pos_Cluster_1946","4.24","544.3246832","4.26_544.3249m/z_HILIC-pos"
"HILIC-pos",4.26,101.0819,"","","","","","","4.26_101.0819m/z_HILIC-pos"
"HILIC-pos",4.28,472.3404,"","","0.994","HILIC-pos_Cluster_1749","4.31","472.33985","4.28_472.3404m/z_HILIC-pos"
"HILIC-pos",4.29,575.3703,"","","","","","","4.29_575.3703m/z_HILIC-pos"
"HILIC-pos",4.31,490.3508,"","","","","","","4.31_490.3508m/z_HILIC-pos"
"HILIC-pos",4.32,508.3614,"","","0.991","HILIC-pos_Cluster_1853","4.33","508.3608727","4.32_508.3614m/z_HILIC-pos"
"HILIC-pos",4.32,553.419,"","","","","","","4.32_553.4190m/z_HILIC-pos"
"HILIC-pos",4.4,238.0914,"","","","","","","4.40_238.0914m/z_HILIC-pos"
"HILIC-pos",4.46,355.2617,"","","","","","","4.46_355.2617m/z_HILIC-pos"
"HILIC-pos",4.47,373.2722,"","","","","","","4.47_373.2722m/z_HILIC-pos"
"HILIC-pos",4.62,565.1531,"","","","","","","4.62_565.1531m/z_HILIC-pos"
"HILIC-pos",4.66,408.3093,"","","","","","","4.66_408.3093m/z_HILIC-pos"
"HILIC-pos",4.68,372.288,"","","","","","","4.68_372.2880m/z_HILIC-pos"
"HILIC-pos",4.91,136.039,"","","","","","","4.91_136.0390m/z_HILIC-pos"
"HILIC-pos",4.98,159.1123,"","","","","","","4.98_159.1123m/z_HILIC-pos"
"HILIC-pos",5.14,238.0927,"","","","","","","5.14_238.0927m/z_HILIC-pos"
"HILIC-pos",5.27,131.1176,"","","","","","","5.27_131.1176m/z_HILIC-pos"
"HILIC-pos",5.27,155.1174,"","","","","","","5.27_155.1174m/z_HILIC-pos"
"HILIC-pos",5.29,173.128,"","","0.998","HILIC-pos_Cluster_0280","5.29","173.1279079","5.29_173.1280m/z_HILIC-pos"
"HILIC-pos",5.29,174.1312,"","","","","","","5.29_174.1312m/z_HILIC-pos"
"HILIC-pos",5.34,226.0814,"","","","","","","5.34_226.0814m/z_HILIC-pos"
"HILIC-pos",5.54,450.1642,"","","","","","","5.54_450.1642m/z_HILIC-pos"
"HILIC-pos",5.74,261.086,"","","","","","","5.74_261.0860m/z_HILIC-pos"
"HILIC-pos",5.82,444.3088,"","","","","","","5.82_444.3088m/z_HILIC-pos"
"HILIC-pos",5.93,427.2061,"","","","","","","5.93_427.2061m/z_HILIC-pos"
"HILIC-pos",5.96,245.0912,"","","0.986","HILIC-pos_Cluster_0690","5.96","245.0910274","5.96_245.0912m/z_HILIC-pos"
"HILIC-pos",6.11,211.0706,"","","","","","","6.11_211.0706m/z_HILIC-pos"
"HILIC-pos",6.29,265.0881,"","","","","","","6.29_265.0881m/z_HILIC-pos"
"HILIC-pos",6.3,184.0633,"","","0.985","HILIC-pos_Cluster_0342","6.3","184.0633592","6.30_184.0633m/z_HILIC-pos"
"HILIC-pos",6.3,185.0666,"","","","","","","6.30_185.0666m/z_HILIC-pos"
"HILIC-pos",6.3,207.0485,"","","","","","","6.30_207.0485m/z_HILIC-pos"
"HILIC-pos",6.3,229.1209,"","","","","","","6.30_229.1209m/z_HILIC-pos"
"HILIC-pos",6.31,206.0451,"","","0.987","HILIC-pos_Cluster_0460","6.31","206.0449394","6.31_206.0451m/z_HILIC-pos"
"HILIC-pos",6.32,208.0409,"","","","","","","6.32_208.0409m/z_HILIC-pos"
"HILIC-pos",6.4,217.0137,"","","","","","","6.40_217.0137m/z_HILIC-pos"
"HILIC-pos",6.4,219.0119,"","","","","","","6.40_219.0119m/z_HILIC-pos"
"HILIC-pos",6.41,137.0511,"","","","","","","6.41_137.0511m/z_HILIC-pos"
"HILIC-pos",6.42,114.0662,"HMDB00562","creatinine","0.966","HILIC-pos_Cluster_0036","6.42","114.0661538","6.42_114.0662m/z_HILIC-pos"
"HILIC-pos",6.42,136.0477,"","","0.961","HILIC-pos_Cluster_0103","6.43","136.0476088","6.42_136.0477m/z_HILIC-pos"
"HILIC-pos",6.42,249.106,"","","0.932","HILIC-pos_Cluster_0716","6.42","249.1056396","6.42_249.1060m/z_HILIC-pos"
"HILIC-pos",6.42,115.0694,"","","","","","","6.42_115.0694m/z_HILIC-pos"
"HILIC-pos",6.43,177.0741,"","","","","","","6.43_177.0741m/z_HILIC-pos"
"HILIC-pos",6.48,146.0919,"","","","","","","6.48_146.0919m/z_HILIC-pos"
"HILIC-pos",6.49,426.356,"HMDB05065","C18:1 carnitine","0.998","HILIC-pos_Cluster_1586","6.48","426.3558757","6.49_426.3560m/z_HILIC-pos"
"HILIC-pos",6.49,147.0952,"","","","","","","6.49_147.0952m/z_HILIC-pos"
"HILIC-pos",6.53,424.3404,"HMDB06469","C18:2 carnitine","0.999","HILIC-pos_Cluster_1580","6.52","424.340387","6.53_424.3404m/z_HILIC-pos"
"HILIC-pos",6.54,446.322,"","","","","","","6.54_446.3220m/z_HILIC-pos"
"HILIC-pos",6.56,386.3249,"","","","","","","6.56_386.3249m/z_HILIC-pos"
"HILIC-pos",6.57,400.3405,"HMDB00222","C16 carnitine","0.998","HILIC-pos_Cluster_1486","6.56","400.3403104","6.57_400.3405m/z_HILIC-pos"
"HILIC-pos",6.57,422.3228,"","","","","","","6.57_422.3228m/z_HILIC-pos"
"HILIC-pos",6.59,398.3248,"","","0.998","HILIC-pos_Cluster_1477","6.58","398.324667","6.59_398.3248m/z_HILIC-pos"
"HILIC-pos",6.6,229.1303,"","","","","","","6.60_229.1303m/z_HILIC-pos"
"HILIC-pos",6.61,207.1485,"","","","","","","6.61_207.1485m/z_HILIC-pos"
"HILIC-pos",6.63,386.3248,"","","","","","","6.63_386.3248m/z_HILIC-pos"
"HILIC-pos",6.69,372.3093,"HMDB05066","C14 carnitine","0.998","HILIC-pos_Cluster_1374","6.68","372.3090379","6.69_372.3093m/z_HILIC-pos"
"HILIC-pos",6.85,173.1643,"","","0.989","HILIC-pos_Cluster_0283","6.85","173.1643114","6.85_173.1643m/z_HILIC-pos"
"HILIC-pos",6.85,156.1378,"","","","","","","6.85_156.1378m/z_HILIC-pos"
"HILIC-pos",6.85,195.1462,"","","","","","","6.85_195.1462m/z_HILIC-pos"
"HILIC-pos",6.96,442.3506,"HMDB13339","C18:1-OH carnitine","","","","","6.96_442.3506m/z_HILIC-pos"
"HILIC-pos",7.09,202.0679,"","","","","","","7.09_202.0679m/z_HILIC-pos"
"HILIC-pos",7.17,181.1305,"","","0.991","HILIC-pos_Cluster_0327","7.16","181.1305096","7.17_181.1305m/z_HILIC-pos"
"HILIC-pos",7.17,142.1222,"","","","","","","7.17_142.1222m/z_HILIC-pos"
"HILIC-pos",7.42,292.1014,"","","","","","","7.42_292.1014m/z_HILIC-pos"
"HILIC-pos",7.44,130.086,"","","","","","","7.44_130.0860m/z_HILIC-pos"
"HILIC-pos",7.46,128.1068,"","","0.993","HILIC-pos_Cluster_0071","7.46","128.1068477","7.46_128.1068m/z_HILIC-pos"
"HILIC-pos",7.46,145.133,"","","0.994","HILIC-pos_Cluster_0142","7.46","145.1329994","7.46_145.1330m/z_HILIC-pos"
"HILIC-pos",7.46,167.115,"","","0.985","HILIC-pos_Cluster_0255","7.45","167.1148376","7.46_167.1150m/z_HILIC-pos"
"HILIC-pos",7.46,129.1101,"","","","","","","7.46_129.1101m/z_HILIC-pos"
"HILIC-pos",7.46,146.1364,"","","","","","","7.46_146.1364m/z_HILIC-pos"
"HILIC-pos",7.52,167.1174,"","","","","","","7.52_167.1174m/z_HILIC-pos"
"HILIC-pos",7.72,104.0707,"HMDB01906","aminoisobutyric acid","","","","","TF8_HILIC-pos"
"HILIC-pos",7.72,86.0604,"","","","","","","7.72_86.0604m/z_HILIC-pos"
"HILIC-pos",7.81,153.0994,"","","","","","","7.81_153.0994m/z_HILIC-pos"
"HILIC-pos",7.82,72.0449,"","","","","","","7.82_72.0449m/z_HILIC-pos"
"HILIC-pos",7.83,114.0913,"HMDB02064","N-acetylputrescine","0.992","HILIC-pos_Cluster_0038","7.83","114.0912894","7.83_114.0913m/z_HILIC-pos"
"HILIC-pos",7.83,131.1176,"HMDB02064","N-acetylputrescine","0.992","HILIC-pos_Cluster_0086","7.83","131.1175604","7.83_131.1176m/z_HILIC-pos"
"HILIC-pos",7.83,115.0946,"","","","","","","7.83_115.0946m/z_HILIC-pos"
"HILIC-pos",7.83,132.1209,"","","","","","","7.83_132.1209m/z_HILIC-pos"
"HILIC-pos",7.84,132.1236,"","","","","","","7.84_132.1236m/z_HILIC-pos"
"HILIC-pos",7.85,118.061,"","","","","","","7.85_118.0610m/z_HILIC-pos"
"HILIC-pos",7.85,73.0846,"","","","","","","7.85_73.0846m/z_HILIC-pos"
"HILIC-pos",7.93,257.1849,"","","","","","","7.93_257.1849m/z_HILIC-pos"
"HILIC-pos",7.94,231.1696,"","","","","","","7.94_231.1696m/z_HILIC-pos"
"HILIC-pos",7.98,128.1068,"","","","","","","7.98_128.1068m/z_HILIC-pos"
"HILIC-pos",8.3,132.0765,"HMDB00064","creatine","0.982","HILIC-pos_Cluster_0090","8.3","132.0763302","8.30_132.0765m/z_HILIC-pos"
"HILIC-pos",8.3,133.0797,"","","","","","","8.30_133.0797m/z_HILIC-pos"
"HILIC-pos",8.3,154.0583,"","","","","","","8.30_154.0583m/z_HILIC-pos"
"HILIC-pos",8.76,142.086,"","","","","","","8.76_142.0860m/z_HILIC-pos"
"HILIC-pos",8.77,229.1287,"","","0.873","HILIC-pos_Cluster_0607","8.78","229.1285391","8.77_229.1287m/z_HILIC-pos"
"HILIC-pos",8.92,317.1444,"","","","","","","8.92_317.1444m/z_HILIC-pos"
"HILIC-pos",8.94,259.139,"","","","","","","8.94_259.1390m/z_HILIC-pos"
"HILIC-pos",9.24,216.1416,"","","","","","","9.24_216.1416m/z_HILIC-pos"
"HILIC-pos",9.27,215.1382,"","","0.981","HILIC-pos_Cluster_0513","9.3","215.1381768","9.27_215.1382m/z_HILIC-pos"
"HILIC-pos",9.31,236.1484,"","","0.995","HILIC-pos_Cluster_0634","9.28","236.1484508","9.31_236.1484m/z_HILIC-pos"
"HILIC-pos",9.36,189.1228,"","","0.986","HILIC-pos_Cluster_0376","9.35","189.1228899","9.36_189.1228m/z_HILIC-pos"
"HILIC-pos",9.37,130.0496,"","","","","","","9.37_130.0496m/z_HILIC-pos"
"HILIC-pos",9.39,229.1538,"","","0.992","HILIC-pos_Cluster_0611","9.4","229.153842","9.39_229.1538m/z_HILIC-pos"
"HILIC-pos",9.39,230.1571,"","","","","","","9.39_230.1571m/z_HILIC-pos"
"HILIC-pos",9.44,248.1119,"HMDB02095","C3-DC carnitine","","","","","9.44_248.1119m/z_HILIC-pos"
"HILIC-pos",9.81,241.1537,"","","","","","","9.81_241.1537m/z_HILIC-pos"
"HILIC-pos",9.88,301.2586,"","","","","","","9.88_301.2586m/z_HILIC-pos"
"HILIC-pos",10.13,215.1383,"","","","","","","10.13_215.1383m/z_HILIC-pos"
"HILIC-pos",10.16,287.243,"HMDB41876","diacetylspermine","0.986","HILIC-pos_Cluster_0936","10.2","287.2429381","10.16_287.2430m/z_HILIC-pos"
"HILIC-pos",10.16,144.1253,"","","","","","","10.16_144.1253m/z_HILIC-pos"
"HILIC-pos",10.16,288.2464,"","","","","","","10.16_288.2464m/z_HILIC-pos"
"HILIC-pos",10.2,229.1538,"","","0.992","HILIC-pos_Cluster_0612","10.2","229.1536476","10.20_229.1538m/z_HILIC-pos"
"HILIC-pos",10.2,230.1571,"","","","","","","10.20_230.1571m/z_HILIC-pos"
"HILIC-pos",10.38,224.0111,"","","","","","","10.38_224.0111m/z_HILIC-pos"
"HILIC-pos",10.81,224.0112,"","","","","","","10.81_224.0112m/z_HILIC-pos"
